Time,PV,OP,SP,ts
24942.81599633396,0.99707031,59.21875,1.0,1.0
24943.85279417038,1.00195313,59.1875,1.0,1.0
24944.8032014072,1.00390625,59.125,1.0,1.0
24945.753598585725,1.00390625,59.09375,1.0,1.0
24946.790396422148,1.00292969,59.09375,1.0,1.0
24947.74079360068,0.99902344,59.15625,1.0,1.0
24948.777601495385,1.0,59.125,1.0,1.0
24949.814399331808,1.00195313,59.125,1.0,1.0
24950.76479651034,1.00292969,59.09375,1.0,1.0
24951.80159434676,1.00097656,59.09375,1.0,1.0
24952.752001583576,1.00097656,59.09375,1.0,1.0
24953.78879942,1.00097656,59.09375,1.0,1.0
24954.825597256426,1.00097656,59.0625,1.0,1.0
24955.862395092845,1.00195313,59.0625,1.0,1.0
24956.812792271376,0.99902344,59.09375,1.0,1.0
24957.76319950819,1.00390625,59.09375,1.0,1.0
24958.799997344613,1.00097656,59.0625,1.0,1.0
24959.83679518104,1.0,59.09375,1.0,1.0
24960.787192359567,0.99755859,59.09375,1.0,1.0
24961.82400025428,0.99853516,59.125,1.0,1.0
24962.774397432804,1.0,59.09375,1.0,1.0
24963.811195269227,1.00097656,59.09375,1.0,1.0
24964.76159244776,1.00097656,59.0625,1.0,1.0
24965.798400342464,0.99853516,59.09375,1.0,1.0
24966.835198178887,1.00195313,59.09375,1.0,1.0
24967.78559535741,1.00097656,59.09375,1.0,1.0
24968.82239319384,1.00195313,59.0625,1.0,1.0
24969.859201088548,1.00097656,59.0625,1.0,1.0
24970.80959826708,0.99951172,59.09375,1.0,1.0
24971.8463961035,1.00097656,59.0625,1.0,1.0
24972.796793282032,1.00097656,59.09375,1.0,1.0
24973.83360117674,1.00390625,59.0625,1.0,1.0
24974.78399835527,1.00488281,59.0,1.0,1.0
24975.82079619169,1.00390625,59.0,1.0,1.0
24976.857594028115,1.00097656,59.03125,1.0,1.0
24977.80800126493,1.00097656,59.03125,1.0,1.0
24978.84479910136,1.00390625,59.0,1.0,1.0
24979.795196279883,1.00097656,59.0,1.0,1.0
24980.831994116303,1.00195313,59.03125,1.0,1.0
24981.86879195273,0.99951172,59.0,1.0,1.0
24982.819199189544,0.99951172,59.03125,1.0,1.0
24983.855997025967,0.99951172,59.03125,1.0,1.0
24984.806394204497,0.99853516,59.0625,1.0,1.0
24985.84319204092,1.00195313,59.03125,1.0,1.0
24986.79359927773,1.00097656,58.96875,1.0,1.0
24987.83039711416,1.00097656,59.0,1.0,1.0
24988.86719495058,0.99853516,59.03125,1.0,1.0
24989.81759212911,1.00195313,59.0,1.0,1.0
24990.85440002381,1.00097656,59.0,1.0,1.0
24991.89119786024,1.00097656,59.0,1.0,1.0
24992.84159503877,0.99902344,59.0,1.0,1.0
24993.878392875195,1.00097656,59.03125,1.0,1.0
24994.82880011201,1.00292969,58.96875,1.0,1.0
24995.865597948432,1.00195313,58.96875,1.0,1.0
24996.815995126963,0.99902344,59.0,1.0,1.0
24997.852792963386,1.00195313,59.0,1.0,1.0
24998.88960085809,1.00195313,58.96875,1.0,1.0
24999.839998036623,1.00390625,58.96875,1.0,1.0
25000.87679587305,1.0,58.96875,1.0,1.0
25001.827193051577,1.00097656,58.96875,1.0,1.0
25002.864000946283,1.00097656,58.96875,1.0,1.0
25003.900798782703,0.99902344,58.96875,1.0,1.0
25004.85119596124,0.99951172,59.0,1.0,1.0
25005.88799379766,1.0,59.03125,1.0,1.0
25006.838401034474,0.99902344,59.0,1.0,1.0
25007.875198870897,1.00195313,58.96875,1.0,1.0
25008.91199670732,1.0,58.96875,1.0,1.0
25009.86239388585,0.99609375,59.0,1.0,1.0
25010.89920178056,0.99511719,59.0625,1.0,1.0
25011.84959895909,1.00195313,59.03125,1.0,1.0
25012.88639679551,1.00195313,58.96875,1.0,1.0
25013.92319463193,1.00195313,58.9375,1.0,1.0
25014.87360186875,1.00195313,58.9375,1.0,1.0
25015.91039970517,1.00097656,58.96875,1.0,1.0
25016.860796883702,1.00097656,58.96875,1.0,1.0
25017.897594720125,0.99902344,59.0,1.0,1.0
25018.934392556548,0.99707031,59.0,1.0,1.0
25019.884799793363,0.99853516,59.03125,1.0,1.0
25020.921597629786,0.99853516,59.03125,1.0,1.0
25021.87199480832,0.99658203,59.03125,1.0,1.0
25022.90879264474,0.99707031,59.0625,1.0,1.0
25023.94560053945,0.99707031,59.0,1.0,1.0
25024.98239837587,0.99316406,59.09375,1.0,1.0
25025.9327955544,0.99511719,59.09375,1.0,1.0
25026.88319273293,0.99707031,59.0625,1.0,1.0
25027.92000062764,0.99707031,59.09375,1.0,1.0
25028.870397806168,0.99902344,59.09375,1.0,1.0
25029.90719564259,0.99658203,59.09375,1.0,1.0
25030.85759282112,1.0,59.125,1.0,1.0
25031.894400715828,1.00097656,59.09375,1.0,1.0
25032.93119855225,0.99951172,59.09375,1.0,1.0
25033.96799638868,0.99902344,59.09375,1.0,1.0
25034.918393567204,0.99853516,59.125,1.0,1.0
25035.86880080402,1.00097656,59.09375,1.0,1.0
25036.90559864044,1.00097656,59.0625,1.0,1.0
25037.942396476865,1.00097656,59.0625,1.0,1.0
25038.8927936554,1.00097656,59.09375,1.0,1.0
25039.929601550102,1.00390625,59.03125,1.0,1.0
25040.966399386525,0.99707031,59.0625,1.0,1.0
25041.916796565056,0.99658203,59.09375,1.0,1.0
25042.95359440148,0.99902344,59.125,1.0,1.0
25043.9903922379,1.0,59.09375,1.0,1.0
25044.94079947472,0.99902344,59.09375,1.0,1.0
25045.97759731114,0.99267578,59.15625,1.0,1.0
25046.92799448967,0.99267578,59.1875,1.0,1.0
25047.964792326093,0.99414063,59.21875,1.0,1.0
25048.915199562907,0.99414063,59.21875,1.0,1.0
25049.95199739933,0.99902344,59.1875,1.0,1.0
25050.98879523576,1.00097656,59.15625,1.0,1.0
25051.939192414284,1.00097656,59.125,1.0,1.0
25052.97600030899,0.99902344,59.125,1.0,1.0
25053.92639748752,0.99755859,59.15625,1.0,1.0
25054.963195323944,1.00097656,59.1875,1.0,1.0
25055.913592502475,1.00097656,59.125,1.0,1.0
25056.95040039718,0.99853516,59.15625,1.0,1.0
25057.987198233604,0.99902344,59.1875,1.0,1.0
25058.93759541213,1.00195313,59.15625,1.0,1.0
25059.97439324856,1.00097656,59.125,1.0,1.0
25060.924800485373,1.0,59.15625,1.0,1.0
25061.961598321795,0.99902344,59.15625,1.0,1.0
25062.91199550033,0.99853516,59.15625,1.0,1.0
25063.94879333675,1.00097656,59.15625,1.0,1.0
25064.985601231456,0.99511719,59.1875,1.0,1.0
25066.02239906788,0.99658203,59.21875,1.0,1.0
25066.97279624641,0.99511719,59.21875,1.0,1.0
25067.92319342494,0.99658203,59.21875,1.0,1.0
25068.960001319647,1.0,59.21875,1.0,1.0
25069.99679915607,1.0,59.21875,1.0,1.0
25070.9471963346,1.00195313,59.1875,1.0,1.0
25071.983994171023,1.00097656,59.1875,1.0,1.0
25072.93440140784,0.99707031,59.21875,1.0,1.0
25073.97119924426,0.99609375,59.25,1.0,1.0
25075.007997080684,0.99853516,59.25,1.0,1.0
25075.95839425921,1.0,59.21875,1.0,1.0
25076.99519209564,0.99755859,59.25,1.0,1.0
25077.94559933245,1.00097656,59.21875,1.0,1.0
25078.982397168875,1.00195313,59.21875,1.0,1.0
25080.019195005298,1.00390625,59.15625,1.0,1.0
25080.96959218383,1.00195313,59.15625,1.0,1.0
25082.00640007853,1.00097656,59.1875,1.0,1.0
25083.04319791496,1.00292969,59.15625,1.0,1.0
25083.99359509349,1.00292969,59.15625,1.0,1.0
25085.03039292991,1.00097656,59.15625,1.0,1.0
25085.98080016673,1.00292969,59.15625,1.0,1.0
25087.10399866104,1.00390625,59.125,1.0,1.0
25088.05439583957,1.00390625,59.125,1.0,1.0
25089.004793018103,1.00195313,59.09375,1.0,1.0
25089.95520025492,1.00097656,59.125,1.0,1.0
25090.99199809134,1.00292969,59.125,1.0,1.0
25092.028795927763,1.00097656,59.125,1.0,1.0
25092.979193106294,0.99707031,59.15625,1.0,1.0
25094.016001001,0.99462891,59.21875,1.0,1.0
25095.052798837423,0.99853516,59.1875,1.0,1.0
25096.00319601596,1.0,59.1875,1.0,1.0
25097.039993852377,1.00585938,59.125,1.0,1.0
25097.99040108919,1.00683594,59.0625,1.0,1.0
25099.02719892561,1.00097656,59.09375,1.0,1.0
25099.977596104145,0.99755859,59.125,1.0,1.0
25101.10079459846,0.99560547,59.15625,1.0,1.0
25102.051201835275,0.99511719,59.1875,1.0,1.0
