Time,PV,OP,SP,ts
1141538460,69.95692,0.04365776,70.0,1.0
1141538520,69.95692,0.04365776,70.0,1.0
1141538580,69.95692,0.04365776,70.0,1.0
1141538640,69.95692,0.04365776,70.0,1.0
1141538700,69.95692,0.04365776,70.0,1.0
1141538760,69.95692,0.04365776,70.0,1.0
1141538820,69.95692,0.04365776,70.0,1.0
1141538880,69.95692,0.04365776,70.0,1.0
1141538940,69.95692,0.04365776,70.0,1.0
1141539000,69.95692,0.04365776,70.0,1.0
1141539060,69.95692,0.04365776,70.0,1.0
1141539120,69.95692,0.04365776,70.0,1.0
1141539180,69.95692,0.04365776,70.0,1.0
1141539240,69.95692,0.04365776,70.0,1.0
1141539300,69.95692,0.04365776,70.0,1.0
1141539360,69.95692,0.04365776,70.0,1.0
1141539420,69.95692,0.04365776,70.0,1.0
1141539480,69.95692,0.04365776,70.0,1.0
1141539540,69.95692,0.04365776,70.0,1.0
1141539600,69.95692,0.04365776,70.0,1.0
1141539660,69.95692,0.04365776,70.0,1.0
1141539720,69.95692,0.04365776,70.0,1.0
1141539780,69.95692,0.04365776,70.0,1.0
1141539840,69.95692,0.04365776,70.0,1.0
1141539900,69.95692,0.04365776,70.0,1.0
1141539960,69.95692,0.04365776,70.0,1.0
1141540020,69.95692,0.04365776,70.0,1.0
1141540080,69.95692,0.04365776,70.0,1.0
1141540140,69.95692,0.04365776,70.0,1.0
1141540200,69.95692,0.04365776,70.0,1.0
1141540260,69.95692,0.04365776,70.0,1.0
1141540320,70.15697,0.04365776,70.0,1.0
1141540380,70.15697,0.04365776,70.0,1.0
1141540440,70.15697,0.04365776,70.0,1.0
1141540500,70.15697,0.04365776,70.0,1.0
1141540560,70.15697,0.04365776,70.0,1.0
1141540620,70.15697,0.04365776,70.0,1.0
1141540680,70.15697,0.04365776,70.0,1.0
1141540740,70.15697,0.04365776,70.0,1.0
1141540800,70.15697,0.04365776,70.0,1.0
1141540860,70.15697,0.04365776,70.0,1.0
1141540920,70.15697,0.04365776,70.0,1.0
1141540980,69.95064,0.04365776,70.0,1.0
1141541040,69.95064,0.04365776,70.0,1.0
1141541100,69.95064,0.04365776,70.0,1.0
1141541160,69.95064,0.04365776,70.0,1.0
1141541220,69.95064,0.04365776,70.0,1.0
1141541280,69.95064,0.04365776,70.0,1.0
1141541340,69.95064,0.04365776,70.0,1.0
1141541400,69.95064,0.04365776,70.0,1.0
1141541460,69.95064,0.04365776,70.0,1.0
1141541520,69.95064,0.04365776,70.0,1.0
1141541580,69.95064,0.04259335,70.0,1.0
1141541640,69.74738,0.04259335,70.0,1.0
1141541700,69.74738,0.04259335,70.0,1.0
1141541760,69.74738,0.04259335,70.0,1.0
1141541820,69.74738,0.04259335,70.0,1.0
1141541880,69.74738,0.04259335,70.0,1.0
1141541940,69.95033,0.04259335,70.0,1.0
1141542000,69.95033,0.04259335,70.0,1.0
1141542060,69.95033,0.04259335,70.0,1.0
1141542120,69.95033,0.04259335,70.0,1.0
1141542180,69.95033,0.04259335,70.0,1.0
1141542240,69.95033,0.04259335,70.0,1.0
1141542300,69.95033,0.04259335,70.0,1.0
1141542360,69.95033,0.04259335,70.0,1.0
1141542420,69.95033,0.04259335,70.0,1.0
1141542480,69.95033,0.04259335,70.0,1.0
1141542540,69.95033,0.04259335,70.0,1.0
1141542600,69.95033,0.04259335,70.0,1.0
1141542660,69.95033,0.04259335,70.0,1.0
1141542720,69.95033,0.04259335,70.0,1.0
1141542780,69.95033,0.04259335,70.0,1.0
1141542840,69.95033,0.04259335,70.0,1.0
1141542900,69.95033,0.04259335,70.0,1.0
1141542960,69.95033,0.04259335,70.0,1.0
1141543020,69.95033,0.04259335,70.0,1.0
1141543080,69.95033,0.04259335,70.0,1.0
1141543140,69.95033,0.04259335,70.0,1.0
1141543200,69.95033,0.04259335,70.0,1.0
1141543260,69.95033,0.04259335,70.0,1.0
1141543320,69.95033,0.04259335,70.0,1.0
1141543380,69.95033,0.04259335,70.0,1.0
1141543440,69.95033,0.04259335,70.0,1.0
1141543500,69.95033,0.04259335,70.0,1.0
1141543560,69.95033,0.04259335,70.0,1.0
1141543620,69.95033,0.04259335,70.0,1.0
1141543680,69.95033,0.04259335,70.0,1.0
1141543740,69.95033,0.04259335,70.0,1.0
1141543800,69.95033,0.04154994,70.0,1.0
1141543860,69.95033,0.04154994,70.0,1.0
1141543920,69.95033,0.04154994,70.0,1.0
1141543980,69.95033,0.04154994,70.0,1.0
1141544040,69.95033,0.04154994,70.0,1.0
1141544100,69.95033,0.04154994,70.0,1.0
1141544160,69.95033,0.04154994,70.0,1.0
1141544220,69.95033,0.04154994,70.0,1.0
1141544280,69.74644,0.04154994,70.0,1.0
1141544340,69.74644,0.04154994,70.0,1.0
1141544400,69.74644,0.04053503,70.0,1.0
1141544460,69.74644,0.04053503,70.0,1.0
1141544520,69.74644,0.04053503,70.0,1.0
1141544580,69.74644,0.04053503,70.0,1.0
1141544640,69.74644,0.04053503,70.0,1.0
1141544700,69.74644,0.04053503,70.0,1.0
1141544760,69.74644,0.04053503,70.0,1.0
1141544820,69.74644,0.04053503,70.0,1.0
1141544880,69.94692,0.04053503,70.0,1.0
1141544940,69.94692,0.04053503,70.0,1.0
1141545000,69.94692,0.04053503,70.0,1.0
1141545060,69.94692,0.04053503,70.0,1.0
1141545120,69.94692,0.04053503,70.0,1.0
1141545180,69.94692,0.04053503,70.0,1.0
1141545240,69.94692,0.04053503,70.0,1.0
1141545300,69.94692,0.04053503,70.0,1.0
1141545360,69.94692,0.04053503,70.0,1.0
1141545420,69.94692,0.04053503,70.0,1.0
1141545480,69.94692,0.04053503,70.0,1.0
1141545540,69.94692,0.04053503,70.0,1.0
1141545600,69.94692,0.04053503,70.0,1.0
1141545660,69.94692,0.04053503,70.0,1.0
1141545720,69.94692,0.04053503,70.0,1.0
1141545780,69.94692,0.04053503,70.0,1.0
1141545840,69.94692,0.04053503,70.0,1.0
1141545900,69.94692,0.04053503,70.0,1.0
1141545960,69.94692,0.04053503,70.0,1.0
1141546020,69.94692,0.04053503,70.0,1.0
1141546080,69.94692,0.04053503,70.0,1.0
1141546140,69.94692,0.04053503,70.0,1.0
1141546200,69.94692,0.04053503,70.0,1.0
1141546260,69.94692,0.04053503,70.0,1.0
1141546320,69.94692,0.04053503,70.0,1.0
1141546380,69.94692,0.04053503,70.0,1.0
1141546440,69.94692,0.04053503,70.0,1.0
1141546500,69.94692,0.04053503,70.0,1.0
1141546560,69.94692,0.04053503,70.0,1.0
1141546620,69.94692,0.04053503,70.0,1.0
1141546680,69.94692,0.04053503,70.0,1.0
1141546740,69.94692,0.04053503,70.0,1.0
1141546800,69.94692,0.04053503,70.0,1.0
1141546860,69.94692,0.04053503,70.0,1.0
1141546920,69.94692,0.04053503,70.0,1.0
1141546980,69.94692,0.04053503,70.0,1.0
1141547040,69.94692,0.04053503,70.0,1.0
1141547100,69.94692,0.04053503,70.0,1.0
1141547160,69.94692,0.04053503,70.0,1.0
1141547220,69.94692,0.04053503,70.0,1.0
1141547280,69.94692,0.04053503,70.0,1.0
1141547340,69.94692,0.0395329,70.0,1.0
1141547400,69.94692,0.0395329,70.0,1.0
1141547460,69.94692,0.0395329,70.0,1.0
1141547520,69.94692,0.0395329,70.0,1.0
1141547580,69.94692,0.0395329,70.0,1.0
1141547640,69.94692,0.0395329,70.0,1.0
1141547700,69.94692,0.0395329,70.0,1.0
1141547760,69.94692,0.0395329,70.0,1.0
1141547820,69.74444,0.03848774,70.0,1.0
1141547880,69.74444,0.03848774,70.0,1.0
1141547940,69.74444,0.03848774,70.0,1.0
1141548000,69.74444,0.03848774,70.0,1.0
1141548060,69.74444,0.03848774,70.0,1.0
1141548120,69.74444,0.03848774,70.0,1.0
1141548180,69.74444,0.03848774,70.0,1.0
1141548240,69.74444,0.03848774,70.0,1.0
1141548300,69.74444,0.03848774,70.0,1.0
1141548360,69.74444,0.03848774,70.0,1.0
1141548420,69.74444,0.03848774,70.0,1.0
1141548480,69.74444,0.03848774,70.0,1.0
1141548540,69.74444,0.03848774,70.0,1.0
1141548600,69.74444,0.03848774,70.0,1.0
1141548660,69.95128,0.03848774,70.0,1.0
1141548720,69.95128,0.03848774,70.0,1.0
1141548780,70.15775,0.03848774,70.0,1.0
1141548840,70.15775,0.03848774,70.0,1.0
1141548900,70.15775,0.03848774,70.0,1.0
1141548960,70.15775,0.03848774,70.0,1.0
1141549020,70.15775,0.03848774,70.0,1.0
1141549080,70.15775,0.03848774,70.0,1.0
1141549140,70.15775,0.03953757,70.0,1.0
1141549200,70.15775,0.03953757,70.0,1.0
1141549260,70.15775,0.03953757,70.0,1.0
1141549320,70.15775,0.03953757,70.0,1.0
1141549380,70.15775,0.03953757,70.0,1.0
1141549440,70.15775,0.03953757,70.0,1.0
1141549500,70.15775,0.03953757,70.0,1.0
1141549560,70.15775,0.03953757,70.0,1.0
1141549620,70.15775,0.03953757,70.0,1.0
1141549680,70.15775,0.03953757,70.0,1.0
1141549740,70.15775,0.03953757,70.0,1.0
1141549800,70.15775,0.03953757,70.0,1.0
1141549860,70.15775,0.03953757,70.0,1.0
1141549920,70.15775,0.03953757,70.0,1.0
1141549980,70.15775,0.03953757,70.0,1.0
1141550040,70.15775,0.03953757,70.0,1.0
1141550100,70.15775,0.0405623,70.0,1.0
1141550160,70.15775,0.0405623,70.0,1.0
1141550220,70.15775,0.0405623,70.0,1.0
1141550280,70.15775,0.0405623,70.0,1.0
1141550340,70.15775,0.0405623,70.0,1.0
1141550400,70.15775,0.0405623,70.0,1.0
1141550460,70.15775,0.0405623,70.0,1.0
1141550520,70.15775,0.0405623,70.0,1.0
1141550580,70.15775,0.0405623,70.0,1.0
1141550640,70.15775,0.0405623,70.0,1.0
1141550700,70.15775,0.0405623,70.0,1.0
1141550760,70.15775,0.04160967,70.0,1.0
1141550820,70.15775,0.04160967,70.0,1.0
1141550880,70.15775,0.04160967,70.0,1.0
1141550940,70.15775,0.04160967,70.0,1.0
1141551000,70.15775,0.04160967,70.0,1.0
1141551060,70.15775,0.04160967,70.0,1.0
1141551120,70.15775,0.04160967,70.0,1.0
1141551180,70.15775,0.04160967,70.0,1.0
1141551240,70.15775,0.04160967,70.0,1.0
1141551300,70.15775,0.04160967,70.0,1.0
1141551360,70.15775,0.04160967,70.0,1.0
1141551420,70.15775,0.04160967,70.0,1.0
1141551480,69.95667,0.04160967,70.0,1.0
1141551540,69.95667,0.04160967,70.0,1.0
1141551600,69.95667,0.04160967,70.0,1.0
1141551660,69.95667,0.04160967,70.0,1.0
1141551720,69.95667,0.04160967,70.0,1.0
1141551780,69.95667,0.04160967,70.0,1.0
1141551840,69.95667,0.04160967,70.0,1.0
1141551900,69.95667,0.04160967,70.0,1.0
1141551960,69.95667,0.04160967,70.0,1.0
1141552020,69.95667,0.04160967,70.0,1.0
1141552080,69.95667,0.04160967,70.0,1.0
1141552140,69.95667,0.04160967,70.0,1.0
1141552200,69.95667,0.04160967,70.0,1.0
1141552260,69.95667,0.04160967,70.0,1.0
1141552320,69.95667,0.04160967,70.0,1.0
1141552380,69.95667,0.04160967,70.0,1.0
1141552440,69.95667,0.04160967,70.0,1.0
1141552500,69.95667,0.04160967,70.0,1.0
1141552560,69.95667,0.04160967,70.0,1.0
1141552620,69.95667,0.04060488,70.0,1.0
1141552680,69.95667,0.04060488,70.0,1.0
1141552740,69.95667,0.04060488,70.0,1.0
1141552800,69.95667,0.04060488,70.0,1.0
1141552860,69.95667,0.04060488,70.0,1.0
1141552920,69.95667,0.04060488,70.0,1.0
1141552980,69.95667,0.04060488,70.0,1.0
1141553040,69.95667,0.04060488,70.0,1.0
1141553100,69.95667,0.04060488,70.0,1.0
1141553160,69.75443,0.04060488,70.0,1.0
1141553220,69.75443,0.03958897,70.0,1.0
1141553280,69.75443,0.03958897,70.0,1.0
1141553340,69.75443,0.03958897,70.0,1.0
1141553400,69.75443,0.03958897,70.0,1.0
1141553460,69.75443,0.03958897,70.0,1.0
1141553520,69.75443,0.03958897,70.0,1.0
1141553580,69.75443,0.03958897,70.0,1.0
1141553640,69.75443,0.03958897,70.0,1.0
1141553700,69.75443,0.03958897,70.0,1.0
1141553760,69.75443,0.03958897,70.0,1.0
1141553820,69.75443,0.03958897,70.0,1.0
1141553880,69.75443,0.03958897,70.0,1.0
1141553940,69.75443,0.03958897,70.0,1.0
1141554000,69.75443,0.03958897,70.0,1.0
1141554060,69.75443,0.03958897,70.0,1.0
1141554120,69.75443,0.03958897,70.0,1.0
1141554180,69.75443,0.03958897,70.0,1.0
1141554240,69.75443,0.03958897,70.0,1.0
1141554300,69.75443,0.03857473,70.0,1.0
1141554360,69.75443,0.03857473,70.0,1.0
1141554420,69.75443,0.03857473,70.0,1.0
1141554480,69.75443,0.03857473,70.0,1.0
1141554540,69.75443,0.03857473,70.0,1.0
1141554600,69.75443,0.03857473,70.0,1.0
1141554660,69.75443,0.03857473,70.0,1.0
1141554720,69.75443,0.03857473,70.0,1.0
1141554780,69.75443,0.03857473,70.0,1.0
1141554840,69.75443,0.03857473,70.0,1.0
1141554900,69.75443,0.03857473,70.0,1.0
1141554960,69.75443,0.03857473,70.0,1.0
1141555020,69.75443,0.03857473,70.0,1.0
1141555080,69.75443,0.03857473,70.0,1.0
1141555140,69.75443,0.03857473,70.0,1.0
1141555200,69.75443,0.03857473,70.0,1.0
1141555260,69.75443,0.03857473,70.0,1.0
1141555320,69.75443,0.03857473,70.0,1.0
1141555380,69.75443,0.03751357,70.0,1.0
1141555440,69.75443,0.03751357,70.0,1.0
1141555500,69.75443,0.03751357,70.0,1.0
1141555560,69.75443,0.03751357,70.0,1.0
1141555620,69.75443,0.03751357,70.0,1.0
1141555680,69.75443,0.03751357,70.0,1.0
1141555740,69.75443,0.03751357,70.0,1.0
1141555800,69.75443,0.03751357,70.0,1.0
1141555860,69.75443,0.03751357,70.0,1.0
1141555920,69.75443,0.03751357,70.0,1.0
1141555980,69.75443,0.03751357,70.0,1.0
1141556040,69.75443,0.03751357,70.0,1.0
1141556100,69.75443,0.03751357,70.0,1.0
1141556160,69.95975,0.03751357,70.0,1.0
1141556220,69.95975,0.03751357,70.0,1.0
1141556280,69.95975,0.03751357,70.0,1.0
1141556340,69.95975,0.03751357,70.0,1.0
1141556400,69.95975,0.03751357,70.0,1.0
1141556460,69.95975,0.03751357,70.0,1.0
1141556520,69.95975,0.03751357,70.0,1.0
1141556580,69.95975,0.03751357,70.0,1.0
1141556640,69.95975,0.03751357,70.0,1.0
1141556700,69.95975,0.03751357,70.0,1.0
1141556760,69.95975,0.03751357,70.0,1.0
1141556820,69.95975,0.03751357,70.0,1.0
1141556880,69.95975,0.03751357,70.0,1.0
