Time,PV,OP,SP,ts
0,59.25,80.8,59.25,30.0
30,59.20000000000001,80.64,59.25,30.0
60,59.20000000000001,80.51,59.25,30.0
90,59.20000000000001,80.43,59.25,30.0
120,59.150000000000006,80.14,59.25,30.0
150,59.150000000000006,79.92,59.25,30.0
180,59.150000000000006,79.76,59.25,30.0
210,59.150000000000006,79.69,59.25,30.0
240,59.150000000000006,79.54,59.25,30.0
270,59.150000000000006,79.35,59.25,30.0
300,59.150000000000006,79.31,59.25,30.0
330,59.20000000000001,79.34,59.25,30.0
360,59.25,79.35,59.25,30.0
390,59.25,79.32,59.25,30.0
420,59.25,79.47,59.25,30.0
450,59.25,79.49,59.25,30.0
480,59.3,79.56,59.25,30.0
510,59.25,79.59,59.25,30.0
540,59.3,79.78,59.25,30.0
570,59.3,79.86,59.25,30.0
600,59.35,80.03,59.25,30.0
630,59.3,80.03,59.25,30.0
660,59.3,80.13,59.25,30.0
690,59.3,80.13,59.25,30.0
720,59.3,80.23,59.25,30.0
750,59.3,80.29,59.25,30.0
780,59.3,80.36,59.25,30.0
810,59.3,80.37,59.25,30.0
840,59.25,80.27,59.25,30.0
870,59.25,80.21,59.25,30.0
900,59.25,80.21,59.25,30.0
930,59.20000000000001,80.11,59.25,30.0
960,59.25,80.08,59.25,30.0
990,59.20000000000001,79.94,59.25,30.0
1020,59.20000000000001,79.87,59.25,30.0
1050,59.150000000000006,79.67,59.25,30.0
1080,59.20000000000001,79.71,59.25,30.0
1110,59.25,79.71,59.25,30.0
1140,59.25,79.68,59.25,30.0
1170,59.25,79.71,59.25,30.0
1200,59.25,79.74,59.25,30.0
1230,59.25,79.74,59.25,30.0
1260,59.25,79.72,59.25,30.0
1290,59.25,79.75,59.25,30.0
1320,59.25,79.83,59.25,30.0
1350,59.3,79.92,59.25,30.0
1380,59.3,80.01,59.25,30.0
1410,59.25,80.02,59.25,30.0
1440,59.3,80.21,59.25,30.0
1470,59.3,80.3,59.25,30.0
1500,59.3,80.3,59.25,30.0
1530,59.3,80.39,59.25,30.0
1560,59.3,80.5,59.25,30.0
1590,59.3,80.48,59.25,30.0
1620,59.25,80.5,59.25,30.0
1650,59.25,80.46,59.25,30.0
1680,59.25,80.43,59.25,30.0
1710,59.25,80.39,59.25,30.0
1740,59.25,80.35,59.25,30.0
1770,59.20000000000001,80.25,59.25,30.0
1800,59.150000000000006,80.07,59.25,30.0
1830,59.150000000000006,79.97,59.25,30.0
1860,59.20000000000001,79.9,59.25,30.0
1890,59.150000000000006,79.78,59.25,30.0
1920,59.150000000000006,79.67,59.25,30.0
1950,59.20000000000001,79.69,59.25,30.0
1980,59.20000000000001,79.58,59.25,30.0
2010,59.20000000000001,79.58,59.25,30.0
2040,59.25,79.6,59.25,30.0
2070,59.25,79.63,59.25,30.0
2100,59.25,79.58,59.25,30.0
2130,59.25,79.59,59.25,30.0
2160,59.25,79.58,59.25,30.0
2190,59.20000000000001,79.45,59.25,30.0
2220,59.25,79.48,59.25,30.0
2250,59.25,79.48,59.25,30.0
2280,59.25,79.46,59.25,30.0
2310,59.25,79.52,59.25,30.0
2340,59.25,79.54,59.25,30.0
2370,59.25,79.63,59.25,30.0
2400,59.3,79.78,59.25,30.0
2430,59.3,79.9,59.25,30.0
2460,59.35,80.05,59.25,30.0
2490,59.3,80.1,59.25,30.0
2520,59.3,80.24,59.25,30.0
2550,59.35,80.38,59.25,30.0
2580,59.35,80.49,59.25,30.0
2610,59.3,80.56,59.25,30.0
2640,59.35,80.7,59.25,30.0
2670,59.3,80.64,59.25,30.0
2700,59.25,80.65,59.25,30.0
2730,59.25,80.57,59.25,30.0
2760,59.25,80.48,59.25,30.0
2790,59.20000000000001,80.34,59.25,30.0
2820,59.20000000000001,80.32,59.25,30.0
2850,59.25,80.28,59.25,30.0
2880,59.20000000000001,80.1,59.25,30.0
2910,59.20000000000001,80.01,59.25,30.0
2940,59.20000000000001,79.92,59.25,30.0
2970,59.20000000000001,79.83,59.25,30.0
3000,59.20000000000001,79.83,59.25,30.0
3030,59.20000000000001,79.8,59.25,30.0
3060,59.25,79.84,59.25,30.0
3090,59.25,79.81,59.25,30.0
3120,59.25,79.81,59.25,30.0
3150,59.25,79.94,59.25,30.0
3180,59.25,79.96,59.25,30.0
3210,59.3,80.03,59.25,30.0
3240,59.3,80.22,59.25,30.0
3270,59.3,80.28,59.25,30.0
3300,59.3,80.34,59.25,30.0
3330,59.3,80.45,59.25,30.0
3360,59.3,80.47,59.25,30.0
3390,59.35,80.63,59.25,30.0
3420,59.35,80.83,59.25,30.0
3450,59.35,80.91,59.25,30.0
3480,59.3,80.98,59.25,30.0
3510,59.3,81.04,59.25,30.0
3540,59.3,81.02,59.25,30.0
3570,59.25,81.04,59.25,30.0
3600,59.25,80.98,59.25,30.0
3630,59.20000000000001,80.82,59.25,30.0
3660,59.20000000000001,80.77,59.25,30.0
3690,59.20000000000001,80.74,59.25,30.0
3720,59.20000000000001,80.66,59.25,30.0
3750,59.150000000000006,80.42,59.25,30.0
3780,59.150000000000006,80.31,59.25,30.0
3810,59.20000000000001,80.25,59.25,30.0
3840,59.20000000000001,80.17,59.25,30.0
3870,59.25,80.23,59.25,30.0
3900,59.20000000000001,80.08,59.25,30.0
3930,59.20000000000001,79.93,59.25,30.0
3960,59.25,80.01,59.25,30.0
3990,59.25,80.02,59.25,30.0
4020,59.25,80.01,59.25,30.0
4050,59.25,80.03,59.25,30.0
4080,59.25,80.02,59.25,30.0
4110,59.25,80.12,59.25,30.0
4140,59.25,80.17,59.25,30.0
4170,59.3,80.25,59.25,30.0
4200,59.3,80.34,59.25,30.0
4230,59.3,80.47,59.25,30.0
4260,59.3,80.52,59.25,30.0
4290,59.3,80.61,59.25,30.0
4320,59.3,80.67,59.25,30.0
4350,59.25,80.55,59.25,30.0
4380,59.25,80.58,59.25,30.0
4410,59.25,80.6,59.25,30.0
4440,59.3,80.71,59.25,30.0
