Time,PV,OP,SP,ts
0,0.05625575,47.2384758,0,5.0
5,0.067337103,47.67939377,0,5.0
10,-0.031500243,46.86835861,0,5.0
15,-0.065878175,46.51861191,0,5.0
20,-0.077271335,46.36243057,0,5.0
25,-0.088664494,46.20625305,0,5.0
30,-0.100057654,46.05007172,0,5.0
35,-0.111450814,45.8938942,0,5.0
40,-0.122843981,45.73771667,0,5.0
45,-0.13423714,45.58153534,0,5.0
50,-0.1456303,45.42535782,0,5.0
55,-0.15702346,45.26917648,0,5.0
60,-0.168416619,45.11299896,0,5.0
65,-0.179809779,44.95681763,0,5.0
70,-0.191202939,44.80064011,0,5.0
75,-0.202596098,44.64445877,0,5.0
80,-0.213989258,44.48828125,0,5.0
85,-0.077582836,45.16129684,0,5.0
90,-0.0848803,45.13010025,0,5.0
95,-0.128103733,44.92285156,0,5.0
100,-0.171327174,44.71560287,0,5.0
105,-0.187943041,44.62771225,0,5.0
110,-0.098128639,45.01725388,0,5.0
115,-0.070693709,45.11035156,0,5.0
120,-0.13682799,44.75878906,0,5.0
125,-0.169906259,44.54162598,0,5.0
130,-0.070760489,44.86206055,0,5.0
135,-0.040152296,44.94324112,0,5.0
140,-0.055235825,44.86491394,0,5.0
145,-0.070319355,44.78659058,0,5.0
150,-0.085402876,44.70826721,0,5.0
155,-0.100486405,44.62994385,0,5.0
160,-0.115569934,44.55161667,0,5.0
165,-0.130653456,44.4732933,0,5.0
170,-0.145736992,44.39496994,0,5.0
175,-0.160820514,44.31664658,0,5.0
180,-0.175904036,44.2383194,0,5.0
185,-0.092534542,44.54882813,0,5.0
190,0.133293152,45.99121094,0,5.0
195,0.014566262,45.5582695,0,5.0
200,-0.221351624,43.40332031,0,5.0
205,-0.080823742,44.19270706,0,5.0
210,0.171596527,46.54296875,0,5.0
215,-0.056089401,45.01395035,0,5.0
220,-0.114542611,44.41573715,0,5.0
225,-0.012115825,44.69702148,0,5.0
230,0.02835634,45.42538071,0,5.0
235,-0.024103429,45.27056503,0,5.0
240,-0.076563202,45.11575317,0,5.0
245,-0.129022971,44.9609375,0,5.0
250,-0.038471986,45.04350281,0,5.0
255,0.185323715,46.47727203,0,5.0
260,0.063572884,45.85620117,0,5.0
265,-0.134468079,43.86523438,0,5.0
270,0.070647717,45.48730469,0,5.0
275,0.063334376,45.80797195,0,5.0
280,-0.019054847,45.40314102,0,5.0
285,0.032363415,45.58105469,0,5.0
290,0.103628762,45.87358093,0,5.0
295,0.070857264,45.75528336,0,5.0
300,0.038085762,45.63698578,0,5.0
305,0.005314264,45.5186882,0,5.0
310,-0.027457237,45.40039063,0,5.0
315,-0.110658966,44.50976563,0,5.0
320,0.029464087,45.27116013,0,5.0
325,0.064623713,45.75646973,0,5.0
330,-0.029486656,45.3359375,0,5.0
335,-0.002943686,45.49131393,0,5.0
340,0.023599284,45.64669418,0,5.0
345,0.050142255,45.80207062,0,5.0
350,0.076685227,45.95745087,0,5.0
355,0.103228197,46.1128273,0,5.0
360,0.014737447,45.81195831,0,5.0
365,-0.127729729,44.82671356,0,5.0
370,-0.071199894,44.73554611,0,5.0
375,0.098232269,46.14453125,0,5.0
380,-0.011226495,45.26725388,0,5.0
385,-0.008693404,45.27606964,0,5.0
390,0.02183765,45.50641251,0,5.0
395,0.052368704,45.73675156,0,5.0
400,0.082899757,45.96709442,0,5.0
405,0.074329652,46.06901169,0,5.0
410,-0.090645112,45.65722656,0,5.0
415,-0.029539654,44.91461945,0,5.0
420,0.003401518,45.09765625,0,5.0
425,-0.090683818,44.70458984,0,5.0
430,-0.047081843,44.91894531,0,5.0
435,0.030941963,45.28515625,0,5.0
440,0.019354502,45.57519531,0,5.0
445,-0.17085129,44.16770172,0,5.0
450,-0.096648574,44.30797195,0,5.0
455,-0.022445858,44.44824219,0,5.0
460,0.051756859,45.54785156,0,5.0
465,-0.065887727,44.8314743,0,5.0
470,-0.069386765,44.75058746,0,5.0
475,0.003211212,45.0933609,0,5.0
480,-0.061107635,44.84082031,0,5.0
485,-0.070907496,44.58370209,0,5.0
490,0.016490554,44.58811188,0,5.0
495,0.00093015,44.59252167,0,5.0
500,-0.083269224,44.59693146,0,5.0
505,-0.028021336,44.60134125,0,5.0
510,0.002868891,44.60575104,0,5.0
515,-0.164678574,44.05322266,0,5.0
520,-0.148006707,43.76171875,0,5.0
525,0.074293137,45.00390625,0,5.0
530,-0.015385628,44.58764648,0,5.0
535,-0.044150352,44.45410156,0,5.0
540,0.018455982,44.74462891,0,5.0
545,0.081062317,45.03515625,0,5.0
550,-0.052770827,44.60112762,0,5.0
555,0.030874887,44.97493362,0,5.0
560,0.029528299,44.92350388,0,5.0
565,-0.154878616,43.84179688,0,5.0
570,-0.090715408,44.01185989,0,5.0
575,0.17301178,45.79589844,0,5.0
580,0.043004513,45.16520309,0,5.0
585,-0.00354894,44.68684769,0,5.0
590,0.169914082,46.0667305,0,5.0
595,0.020033836,45.79492188,0,5.0
600,0.033749036,44.98758316,0,5.0
605,0.191810608,46.359375,0,5.0
610,0.052869003,45.24012756,0,5.0
615,-0.077247299,44.45051956,0,5.0
620,0.240704849,46.64127731,0,5.0
625,0.169685364,46.57449722,0,5.0
630,-0.0108881,45.01757813,0,5.0
635,0.135619327,45.76220703,0,5.0
640,0.080617629,45.63043976,0,5.0
645,0.039405309,45.57497025,0,5.0
650,0.094442956,45.96258926,0,5.0
655,0.149480596,46.3502121,0,5.0
660,0.166850477,46.52011108,0,5.0
665,0.174803421,46.63557816,0,5.0
670,0.182756349,46.75104904,0,5.0
675,0.190709293,46.86651993,0,5.0
680,0.198662221,46.981987,0,5.0
685,0.206615165,47.09745789,0,5.0
690,0.214568108,47.21292496,0,5.0
695,0.222521037,47.32839584,0,5.0
700,0.23047398,47.44386673,0,5.0
705,0.238426909,47.5593338,0,5.0
710,0.246379852,47.67480469,0,5.0
715,0.101027168,47.03841019,0,5.0
720,0.091232009,47.07023621,0,5.0
725,0.115326218,47.26911926,0,5.0
730,0.139420435,47.4679985,0,5.0
735,0.163514644,47.66687775,0,5.0
740,0.187608868,47.8657608,0,5.0
745,0.090402365,47.29980469,0,5.0
750,-0.00672512,46.22395706,0,5.0
755,0.060469083,46.70745087,0,5.0
760,0.116446398,47.20633316,0,5.0
765,0.101566449,47.14355469,0,5.0
770,0.086686507,47.08077621,0,5.0
775,0.071806557,47.01799774,0,5.0
780,0.056926612,46.95521927,0,5.0
785,0.042046662,46.89243698,0,5.0
790,0.027166717,46.82965851,0,5.0
795,0.01228677,46.76688004,0,5.0
800,-0.002593177,46.70410156,0,5.0
805,-0.017473124,46.64132309,0,5.0
810,-0.053739071,46.08154297,0,5.0
815,-0.067680635,45.85519028,0,5.0
820,-0.026749611,46.62597656,0,5.0
825,-0.064325273,46.41145706,0,5.0
830,-0.101900935,46.19694138,0,5.0
835,-0.139476597,45.98242188,0,5.0
840,-0.156118616,45.76790237,0,5.0
845,-0.167527229,45.55338669,0,5.0
850,-0.178935841,45.33886719,0,5.0
855,-0.190344453,45.12434769,0,5.0
860,-0.201753065,44.909832,0,5.0
865,-0.213161677,44.6953125,0,5.0
870,-0.224570289,44.480793,0,5.0
875,-0.235978901,44.26627731,0,5.0
880,-0.247387514,44.05175781,0,5.0
885,-0.258796126,43.83723831,0,5.0
890,-0.270204723,43.62272263,0,5.0
895,-0.28161335,43.40820313,0,5.0
900,-0.293021947,43.25180817,0,5.0
905,-0.304430574,43.09541702,0,5.0
910,-0.315839171,42.93902206,0,5.0
915,-0.327247798,42.78262711,0,5.0
920,-0.338656396,42.62623596,0,5.0
925,-0.350064993,42.469841,0,5.0
930,-0.332919449,42.36927414,0,5.0
935,-0.201557159,42.49200821,0,5.0
940,-0.181879967,42.61474609,0,5.0
945,-0.16220279,42.73748398,0,5.0
950,-0.142525598,42.86021805,0,5.0
955,-0.122848414,42.98295593,0,5.0
960,-0.103171222,43.10569,0,5.0
965,-0.083494037,43.22842789,0,5.0
970,-0.063816845,43.35116196,0,5.0
975,-0.103689604,43.15443802,0,5.0
980,-0.232887268,42.47851563,0,5.0
985,-0.12552619,42.7824707,0,5.0
990,-0.084583133,42.84209824,0,5.0
995,-0.143267125,42.53523254,0,5.0
1000,-0.201951101,42.22836685,0,5.0
1005,-0.09223175,42.81718826,0,5.0
1010,-0.164982796,42.45537186,0,5.0
1015,-0.156194374,42.60449219,0,5.0
1020,0.031542301,43.52001953,0,5.0
1025,0.111769482,44.34355545,0,5.0
1030,-0.126080319,42.54589844,0,5.0
1035,-0.09778595,42.23632813,0,5.0
1040,0.070741653,43.60559082,0,5.0
1045,0.085361481,43.9598999,0,5.0
1050,0.099981308,44.31420898,0,5.0
1055,0.064386688,44.32653809,0,5.0
1060,-0.063539505,42.97094727,0,5.0
1065,0.02488327,43.61181641,0,5.0
1070,0.07207451,44.28242111,0,5.0
1075,0.019322634,43.72509766,0,5.0
1080,0.125424266,44.25366211,0,5.0
1085,0.040269852,43.9140625,0,5.0
1090,0.04785955,43.98327637,0,5.0
1095,0.149154663,44.46972656,0,5.0
1100,0.181916639,45.11146927,0,5.0
1105,-0.031702995,43.71777344,0,5.0
1110,0.070778169,44.51633453,0,5.0
1115,0.20194149,45.31489563,0,5.0
1120,0.150891438,45.05273438,0,5.0
1125,0.094541229,44.79218292,0,5.0
1130,0.105741329,44.93181992,0,5.0
1135,0.11694143,45.07145309,0,5.0
1140,0.128141522,45.21109009,0,5.0
1145,0.139341623,45.35072708,0,5.0
1150,0.150541723,45.49036026,0,5.0
1155,0.161741823,45.62999725,0,5.0
1160,0.172941923,45.76963425,0,5.0
1165,0.184142023,45.90926743,0,5.0
1170,0.195342124,46.04890442,0,5.0
1175,0.206542224,46.18854141,0,5.0
1180,0.217742324,46.32817459,0,5.0
1185,0.228942424,46.46781158,0,5.0
1190,0.240142524,46.60744858,0,5.0
1195,0.251342624,46.74708176,0,5.0
1200,0.262542725,46.88671875,0,5.0
1205,0.234441608,46.80840683,0,5.0
1210,0.206340492,46.73009491,0,5.0
1215,0.178239375,46.65177917,0,5.0
1220,0.150138274,46.57346725,0,5.0
1225,0.122037157,46.49515533,0,5.0
1230,0.23444061,47.32949066,0,5.0
1235,0.158187866,46.89160156,0,5.0
1240,0.169571683,46.90917969,0,5.0
1245,0.276676953,47.48046875,0,5.0
1250,0.189176083,47.42675781,0,5.0
1255,0.106280535,46.57184601,0,5.0
1260,0.224899083,47.13476563,0,5.0
1265,0.182617947,47.61952972,0,5.0
1270,0.174331665,47.71442413,0,5.0
1275,0.220233917,48.1774559,0,5.0
1280,0.106193542,47.48758316,0,5.0
1285,0.181545258,47.97957993,0,5.0
1290,0.266941071,48.76704407,0,5.0
1295,0.133440584,47.80234528,0,5.0
1300,0.108333111,47.41699219,0,5.0
1305,0.271026611,49.01171875,0,5.0
1310,0.027497292,46.80175781,0,5.0
1315,0.132078648,47.43652344,0,5.0
1320,0.236660004,48.90625,0,5.0
1325,0.018404961,47.56347656,0,5.0
1330,0.029139247,46.93994141,0,5.0
1335,0.12947464,47.39526367,0,5.0
1340,0.149680793,47.85058594,0,5.0
1345,0.169886962,48.3059082,0,5.0
1350,0.109657668,48.09342575,0,5.0
1355,-0.029186249,46.8792305,0,5.0
1360,0.000413028,46.97842789,0,5.0
1365,0.100269228,47.95321274,0,5.0
1370,0.128603697,48.27929688,0,5.0
1375,0.049655557,47.63232422,0,5.0
1380,0.018976262,47.47332764,0,5.0
1385,0.000364178,47.43632889,0,5.0
1390,-0.018247906,47.39932632,0,5.0
1395,-0.036859989,47.36232758,0,5.0
1400,-0.055472072,47.32532501,0,5.0
1405,-0.074084155,47.28832626,0,5.0
1410,-0.092696242,47.2513237,0,5.0
1415,-0.080753326,47.21432114,0,5.0
1420,0.053409576,47.17732239,0,5.0
1425,0.084275052,48.09612274,0,5.0
1430,-0.039805602,47.35253906,0,5.0
