Time,PV,OP,SP,ts
0,72.999,39.783,73,1.0
1,72.87,40.211,73,1.0
2,72.658,41.33,73,1.0
3,72.625,41.652,73,1.0
4,72.559,42.514,73,1.0
5,72.555,43.238,73,1.0
6,72.747,43.497,73,1.0
7,72.955,43.046,73,1.0
8,73.198,42.547,73,1.0
9,73.354,41.488,73,1.0
10,73.532,40.284,73,1.0
11,73.575,38.889,73,1.0
12,73.551,37.838,73,1.0
13,73.231,38.218,73,1.0
14,72.911,38.783,73,1.0
15,72.654,39.659,73,1.0
16,72.532,40.786,73,1.0
17,72.45,41.965,73,1.0
18,72.473,42.414,73,1.0
19,72.765,42.14,73,1.0
20,72.993,41.985,73,1.0
21,73.223,41.299,73,1.0
22,73.47,40.305,73,1.0
23,73.527,39.493,73,1.0
24,73.373,39.083,73,1.0
25,73.237,38.485,73,1.0
26,73.008,38.73,73,1.0
27,72.793,39.296,73,1.0
28,72.627,40.468,73,1.0
29,72.444,41.245,73,1.0
30,72.406,42.544,73,1.0
31,72.704,42.758,73,1.0
32,72.878,42.968,73,1.0
33,73.086,42.087,73,1.0
34,73.345,40.891,73,1.0
35,73.572,39.899,73,1.0
36,73.561,39.232,73,1.0
37,73.26,38.726,73,1.0
38,73.141,39.174,73,1.0
39,72.94,39.549,73,1.0
40,72.797,39.549,73,1.0
41,72.681,40.655,73,1.0
42,72.568,41.482,73,1.0
43,72.551,42.299,73,1.0
44,72.747,42.542,73,1.0
45,72.97,42.099,73,1.0
46,73.215,41.339,73,1.0
47,73.624,40.427,73,1.0
48,73.704,39.274,73,1.0
49,73.595,38.284,73,1.0
50,73.722,37.532,73,1.0
51,73.304,36.814,73,1.0
52,72.972,37.767,73,1.0
53,72.727,38.801,73,1.0
54,72.461,40.053,73,1.0
55,72.444,41.152,73,1.0
56,72.495,41.771,73,1.0
57,72.734,41.771,73,1.0
58,72.986,41.435,73,1.0
59,73.257,40.417,73,1.0
60,73.497,39.153,73,1.0
61,73.651,37.912,73,1.0
62,73.556,37.206,73,1.0
63,73.333,37.04,73,1.0
64,73.095,37.451,73,1.0
65,72.825,38.072,73,1.0
66,72.661,38.915,73,1.0
67,72.534,40.086,73,1.0
68,72.487,41.022,73,1.0
69,72.545,41.502,73,1.0
70,72.758,41.502,73,1.0
71,73.07,40.779,73,1.0
72,73.356,39.866,73,1.0
73,73.494,38.613,73,1.0
74,73.533,37.527,73,1.0
75,73.371,37.415,73,1.0
76,73.184,37.309,73,1.0
77,73.103,37.779,73,1.0
78,72.678,38.806,73,1.0
79,72.613,39.808,73,1.0
80,72.584,40.849,73,1.0
81,72.614,41.203,73,1.0
82,72.854,40.909,73,1.0
83,73.092,39.389,73,1.0
84,73.36,38.654,73,1.0
85,73.426,38.201,73,1.0
86,73.358,37.65,73,1.0
87,73.221,37.439,73,1.0
88,73.069,37.439,73,1.0
89,72.88,38.184,73,1.0
90,72.752,38.767,73,1.0
91,72.779,39.066,73,1.0
92,72.494,40.383,73,1.0
93,72.606,41.17,73,1.0
94,72.788,40.947,73,1.0
95,72.982,40.382,73,1.0
96,73.508,38.634,73,1.0
97,73.39,37.675,73,1.0
98,73.567,36.772,73,1.0
99,73.38,36.345,73,1.0
100,73.114,36.912,73,1.0
101,72.987,37.056,73,1.0
102,72.634,38.351,73,1.0
103,72.424,39.278,73,1.0
104,72.377,40.855,73,1.0
105,72.5,41.412,73,1.0
106,72.811,41.06,73,1.0
107,73.077,40.134,73,1.0
108,73.386,38.938,73,1.0
109,73.567,37.71,73,1.0
110,73.607,36.753,73,1.0
111,73.459,36.373,73,1.0
112,73.194,36.558,73,1.0
113,73.125,37.238,73,1.0
114,72.801,37.738,73,1.0
115,72.768,38.315,73,1.0
116,72.442,39.774,73,1.0
117,72.386,40.334,73,1.0
118,72.717,41.026,73,1.0
119,72.884,40.256,73,1.0
120,73.174,39.54,73,1.0
121,73.36,38.474,73,1.0
122,73.51,37.462,73,1.0
123,73.632,36.397,73,1.0
124,73.54,35.721,73,1.0
125,73.31,35.721,73,1.0
126,72.998,36.245,73,1.0
