Time,PV,OP,SP,ts
0,220.603,62.3437,221.484,10.0
10,222.533,62.1771,221.915,10.0
20,223.976,61.9792,221.896,10.0
30,225.644,61.7153,221.953,10.0
40,226.45,61.5174,221.84,10.0
50,226.9,61.3368,221.803,10.0
60,226.319,61.2222,221.428,10.0
70,225.925,61.0903,220.978,10.0
80,223.77,61.2222,220.959,10.0
90,220.397,61.5035,220.51,10.0
100,217.418,61.8854,220.51,10.0
110,216.237,62.1528,220.922,10.0
120,215.956,62.3924,221.334,10.0
130,216.143,62.5625,221.821,10.0
140,216.424,62.6875,221.878,10.0
150,217.343,62.7778,222.271,10.0
160,219.891,62.6493,222.777,10.0
170,222.777,62.4062,222.871,10.0
180,225.269,62.0903,222.815,10.0
190,227.012,61.7951,222.815,10.0
200,227.331,61.5486,221.934,10.0
210,226.75,61.5312,222.365,10.0
220,226.094,61.4167,221.765,10.0
230,224.051,61.4965,221.334,10.0
240,220.809,61.7292,220.51,10.0
250,217.849,62.0764,220.472,10.0
260,216.93,62.3125,220.884,10.0
270,216.668,62.4826,220.959,10.0
280,217.455,62.4722,220.809,10.0
290,217.193,62.5903,220.772,10.0
300,217.455,62.5972,220.36,10.0
310,218.523,62.5486,220.303,10.0
320,220.266,62.4375,220.697,10.0
330,222.084,62.2049,220.641,10.0
340,224.257,61.9236,220.791,10.0
350,226.0,61.6111,220.734,10.0
360,226.413,61.3646,220.228,10.0
370,226.038,61.25,220.228,10.0
380,225.532,61.1007,219.816,10.0
390,224.314,61.0521,219.329,10.0
400,221.353,61.2812,219.291,10.0
410,218.13,61.5799,218.842,10.0
420,215.975,61.8958,219.16,10.0
430,215.375,61.9965,218.692,10.0
440,215.431,62.1354,219.067,10.0
450,215.469,62.2049,218.973,10.0
460,215.9,62.309,219.329,10.0
470,216.556,62.3646,219.741,10.0
480,217.605,62.3854,220.191,10.0
490,220.116,62.0903,219.704,10.0
500,222.346,61.7917,219.685,10.0
510,224.257,61.4444,219.291,10.0
520,225.307,61.1667,219.16,10.0
530,225.419,60.934,218.636,10.0
540,225.438,60.7361,218.598,10.0
550,224.201,60.7049,218.523,10.0
560,221.447,60.7708,217.586,10.0
570,218.055,61.0833,217.53,10.0
580,215.375,61.3646,217.174,10.0
590,214.138,61.566,217.118,10.0
600,214.382,61.6701,217.474,10.0
610,214.325,61.7569,217.455,10.0
620,214.869,61.8264,217.867,10.0
630,215.188,61.9618,218.692,10.0
640,215.75,61.9653,218.392,10.0
650,217.642,61.9028,219.254,10.0
660,219.816,61.6736,219.198,10.0
670,221.803,61.4097,219.217,10.0
680,223.883,61.0972,219.198,10.0
690,224.951,60.7674,218.673,10.0
700,225.157,60.5347,218.355,10.0
710,224.82,60.4028,218.317,10.0
720,223.658,60.3056,217.792,10.0
730,220.716,60.4375,217.305,10.0
740,217.567,60.7326,217.249,10.0
750,214.719,61.0312,216.799,10.0
760,213.332,61.2326,216.499,10.0
770,213.257,61.3715,216.874,10.0
780,213.482,61.441,216.893,10.0
790,213.651,61.5625,217.211,10.0
800,214.251,61.6319,217.586,10.0
810,215.487,61.6181,217.98,10.0
820,217.511,61.5069,218.504,10.0
830,220.191,61.1944,218.486,10.0
840,222.271,60.9306,218.898,10.0
850,223.714,60.6146,218.504,10.0
860,223.883,60.5174,218.898,10.0
870,223.695,60.2847,217.923,10.0
880,223.358,60.1701,217.792,10.0
890,221.69,60.2187,217.774,10.0
900,219.067,60.434,217.736,10.0
910,216.05,60.7639,217.736,10.0
920,213.782,61.0312,217.305,10.0
930,213.145,61.2014,217.211,10.0
940,213.314,61.3576,217.624,10.0
950,213.426,61.5104,218.036,10.0
960,213.913,61.6319,218.523,10.0
970,214.719,61.7049,218.954,10.0
980,216.406,61.6285,218.954,10.0
990,218.879,61.3333,218.504,10.0
1000,221.671,61.0035,218.654,10.0
1010,223.339,60.7049,218.636,10.0
1020,223.695,60.5417,218.692,10.0
1030,223.602,60.3611,218.223,10.0
