Time,PV,OP,SP,ts
0,633.515625,62.29103088,640,60.0
60,633.40625,62.29671478,640,60.0
120,632.859375,62.37944412,640,60.0
180,632.640625,62.35958862,640,60.0
240,632.96875,62.32674789,640,60.0
300,633.734375,62.38083649,640,60.0
360,634.609375,62.33583832,640,60.0
420,634.828125,62.37353134,640,60.0
480,635.265625,62.3719635,640,60.0
540,634.609375,62.46793747,640,60.0
600,634.0625,62.4547348,640,60.0
660,633.515625,62.48981476,640,60.0
720,633.40625,62.4957962,640,60.0
780,633.1875,62.55711365,640,60.0
840,633.296875,62.57149124,640,60.0
900,633.515625,62.56632614,640,60.0
960,633.515625,62.59910583,640,60.0
1020,633.1875,62.64347076,640,60.0
1080,631.984375,62.70771027,640,60.0
1140,631.4375,62.77908707,640,60.0
1200,631.21875,62.78232193,640,60.0
1260,631.21875,62.80563736,640,60.0
1320,632.3125,62.75201035,640,60.0
1380,633.1875,62.80410004,640,60.0
1440,634.5,62.69919586,640,60.0
1500,635.265625,62.76494598,640,60.0
1560,636.140625,62.74685669,640,60.0
1620,636.03125,62.77211761,640,60.0
1680,635.8125,62.79027939,640,60.0
1740,635.8125,62.80144882,640,60.0
1800,636.140625,62.80275726,640,60.0
1860,636.578125,62.80739212,640,60.0
1920,636.46875,62.82040024,640,60.0
1980,636.359375,62.86426163,640,60.0
2040,636.359375,62.84297562,640,60.0
2100,636.46875,62.85070419,640,60.0
2160,637.671875,62.795578,640,60.0
2220,637.78125,62.82500076,640,60.0
2280,636.6875,62.96486282,640,60.0
2340,635.8125,62.91106033,640,60.0
2400,634.828125,63.00508881,640,60.0
2460,633.953125,63.01838303,640,60.0
2520,633.734375,63.04209137,640,60.0
2580,633.734375,63.05879974,640,60.0
2640,633.296875,63.12165833,640,60.0
2700,631.875,63.20854187,640,60.0
2760,631.546875,63.21064377,640,60.0
2820,631.109375,63.24855042,640,60.0
2880,630.890625,63.27993393,640,60.0
2940,632.3125,63.23173141,640,60.0
3000,632.96875,63.27586746,640,60.0
3060,633.078125,63.29379272,640,60.0
3120,632.859375,63.31973267,640,60.0
3180,632.75,63.34569168,640,60.0
3240,633.078125,63.37543106,640,60.0
3300,633.078125,63.39387894,640,60.0
3360,633.40625,63.40090942,640,60.0
3420,633.734375,63.40701294,640,60.0
3480,634.828125,63.33889389,640,60.0
3540,637.015625,63.3365097,640,60.0
3600,638.328125,63.18399048,640,60.0
3660,639.75,63.2528801,640,60.0
3720,641.390625,63.10369492,640,60.0
3780,642.59375,63.15129852,640,60.0
3840,644.890625,62.97760391,640,60.0
3900,646.3125,62.9590416,640,60.0
3960,646.859375,62.92625046,640,60.0
4020,647.40625,62.91994476,640,60.0
4080,649.15625,62.75579834,640,60.0
4140,650.359375,62.73146439,640,60.0
4200,650.46875,62.7155838,640,60.0
4260,650.25,62.69534683,640,60.0
4320,650.140625,62.66745377,640,60.0
4380,650.578125,62.59851074,640,60.0
4440,651.671875,62.5318985,640,60.0
4500,652.875,62.38160324,640,60.0
4560,653.859375,62.3904686,640,60.0
4620,656.59375,62.21700668,640,60.0
4680,657.46875,62.14204025,640,60.0
4740,658.5625,61.99546432,640,60.0
4800,659.109375,61.9648819,640,60.0
4860,659.109375,61.92943573,640,60.0
4920,658.453125,61.86634064,640,60.0
4980,658.34375,61.80553055,640,60.0
5040,657.90625,61.80272675,640,60.0
5100,657.25,61.74663925,640,60.0
5160,656.046875,61.79689407,640,60.0
5220,652.0,61.93278122,640,60.0
5280,650.140625,61.82573318,640,60.0
5340,647.84375,61.98295593,640,60.0
5400,646.640625,61.89548111,640,60.0
5460,645.765625,61.93934631,640,60.0
5520,644.671875,61.96026993,640,60.0
5580,643.6875,61.93559647,640,60.0
5640,641.609375,62.12171936,640,60.0
5700,640.1875,62.04270172,640,60.0
5760,637.453125,62.18774796,640,60.0
5820,636.90625,62.18383026,640,60.0
5880,636.796875,62.18031693,640,60.0
5940,636.796875,62.18866348,640,60.0
6000,636.25,62.24720001,640,60.0
6060,635.046875,62.31041336,640,60.0
6120,634.71875,62.30405426,640,60.0
6180,634.609375,62.3220253,640,60.0
6240,634.390625,62.37477875,640,60.0
6300,633.84375,62.39608383,640,60.0
6360,633.625,62.42008591,640,60.0
6420,632.75,62.47078323,640,60.0
6480,632.3125,62.52097321,640,60.0
6540,632.203125,62.52981186,640,60.0
6600,632.75,62.55161667,640,60.0
6660,632.96875,62.56317139,640,60.0
6720,632.203125,62.65494537,640,60.0
6780,631.546875,62.65209579,640,60.0
6840,630.78125,62.7210083,640,60.0
