Time,SP,PV,OP,error,ts
1,0.96357,0.34924,0.64931,-0.167,20
2,0.96357,0.12492,0.66724,0.061315,20
3,0.96357,0.44282,0.54299,-0.26225,20
4,0.96357,0.5928,0.46357,-0.41489,20
5,0.96357,0.55563,0.42771,-0.37706,20
6,0.96357,0.36847,0.39697,-0.18657,20
7,0.96357,0.71201,0.27144,-0.53623,20
8,0.96357,0.23516,0.32523,-0.050888,20
9,0.96357,0.46205,0.24454,-0.28182,20
10,0.96357,0.53512,0.17409,-0.35618,20
11,0.96357,0.34924,0.27656,-0.167,20
12,0.96357,0.40565,0.13822,-0.22441,20
13,0.96357,1.3863,-0.12821,-1.2225,20
14,0.96357,1.0133,-0.12437,-0.84283,20
15,0.96357,1.2363,-0.24862,-1.0698,20
16,0.96357,1.1632,-0.32419,-0.99548,20
17,0.96357,1.7939,-0.52914,-1.6374,20
18,0.96357,0.84277,-0.42667,-0.66931,20
19,0.96357,1.0697,-0.55604,-0.90024,20
20,0.96357,0.72868,-0.54707,-0.55319,20
21,0.96357,0.31207,-0.55604,-0.12917,20
22,0.96357,1.0133,-0.76867,-0.84283,20
23,0.96357,0.47871,-0.73281,-0.29878,20
24,0.96357,0.51845,-0.80454,-0.33922,20
25,0.96357,0.47871,-0.83528,-0.29878,20
26,0.96357,0.19798,-0.76867,-0.013052,20
27,0.96357,0.25567,-0.79557,-0.071763,20
28,0.96357,0.36847,-0.8404,-0.18657,20
29,0.96357,0.46205,-0.85834,-0.28182,20
30,0.96357,0.38514,-0.88395,-0.20354,20
31,0.96357,0.34924,-0.86218,-0.167,20
32,0.96357,0.42487,-0.94672,-0.24398,20
33,0.96357,0.14158,-0.90189,0.044354,20
34,0.96357,0.51845,-0.98643,-0.33922,20
35,0.96357,-0.031472,-0.89292,0.22049,20
36,0.96357,-0.14556,-0.91598,0.3366,20
37,0.96357,-0.089157,-0.94288,0.2792,20
38,0.96357,0.17876,-0.98643,0.0065184,20
39,0.96357,0.17876,-0.97746,0.0065184,20
40,0.96357,0.34924,-1.0274,-0.167,20
41,0.96357,-0.14556,-0.92494,0.3366,20
42,0.96357,0.44282,-1.0223,-0.26225,20
43,0.96357,1.1261,-1.1517,-0.95764,20
44,0.96357,0.51845,-1.0492,-0.33922,20
45,0.96357,0.16209,-0.9685,0.023479,20
46,0.96357,-0.35835,-0.85321,0.55318,20
47,0.96357,0.19798,-0.97746,-0.013052,20
48,0.96357,0.23516,-1.0185,-0.050888,20
49,0.96357,1.1799,-1.2669,-1.0124,20
50,0.96357,-0.031472,-1.0044,0.22049,20
51,0.96357,0.55563,-1.1427,-0.37706,20
52,0.96357,0.67612,-1.1786,-0.4997,20
53,0.96357,-0.22247,-1.0044,0.41488,20
54,0.96357,0.32873,-1.0889,-0.14613,20
55,0.96357,0.078769,-1.0441,0.10828,20
56,0.96357,-0.50961,-0.88011,0.70713,20
57,0.96357,-0.031472,-0.97746,0.22049,20
58,0.96357,0.02493,-0.96081,0.16308,20
59,0.96357,-0.051982,-0.92494,0.24136,20
60,0.96357,-0.30195,-0.87115,0.49578,20
61,0.96357,0.078769,-0.91598,0.10828,20
62,0.96357,0.02493,-0.8673,0.16308,20
63,0.96357,-0.072492,-0.80838,0.26224,20
64,0.96357,-0.051982,-0.7469,0.24136,20
65,0.96357,-0.20196,-0.68413,0.39401,20
66,0.96357,-0.3763,-0.58678,0.57145,20
67,0.96357,0.0044202,-0.61752,0.18396,20
68,0.96357,-0.14556,-0.54707,0.3366,20
69,0.96357,-0.76599,-0.36006,0.96807,20
70,0.96357,-0.072492,-0.44844,0.26224,20
71,0.96357,-0.3763,-0.32803,0.57145,20
72,0.96357,-0.20196,-0.30242,0.39401,20
73,0.96357,-0.22247,-0.23581,0.41488,20
74,0.96357,-0.089157,-0.22684,0.2792,20
75,0.96357,0.55563,-0.34212,-0.37706,20
76,0.96357,0.25567,-0.27552,-0.071763,20
77,0.96357,-0.33912,-0.11028,0.53361,20
78,0.96357,-0.031472,-0.15127,0.22049,20
79,0.96357,0.02493,-0.15511,0.16308,20
80,0.96357,-1.1262,0.12541,1.3347,20
81,0.96357,1.0133,-0.27552,-0.84283,20
82,0.96357,0.23516,-0.097469,-0.050888,20
83,0.96357,-0.10838,-0.016771,0.29877,20
84,0.96357,-0.014808,0.0088475,0.20353,20
85,0.96357,-0.41603,0.16512,0.61189,20
86,0.96357,-0.30195,0.22788,0.49578,20
87,0.96357,-0.50961,0.31627,0.70713,20
88,0.96357,-0.47244,0.37903,0.6693,20
89,0.96357,-0.68266,0.45845,0.88327,20
90,0.96357,-0.97621,0.58782,1.182,20
91,0.96357,-0.14556,0.48023,0.3366,20
92,0.96357,-0.55319,0.6365,0.75149,20
93,0.96357,-0.80316,0.76587,1.0059,20
94,0.96357,-0.4327,0.73001,0.62885,20
95,0.96357,-0.23914,0.72104,0.43185,20
96,0.96357,-0.70317,0.89012,0.90414,20
97,0.96357,-0.73907,0.98363,0.94067,20
98,0.96357,-0.47244,1.0105,0.6693,20
99,0.96357,-0.666,1.1437,0.86631,20
100,0.96357,-0.80316,1.1975,1.0059,20
101,0.96357,-0.53268,1.2142,0.73062,20
102,0.96357,-0.3763,1.277,0.57145,20
103,0.96357,-0.12505,1.2731,0.31573,20
104,0.96357,-0.20196,1.3256,0.39401,20
105,0.96357,-0.30195,1.4243,0.49578,20
106,0.96357,-0.14556,1.446,0.3366,20
107,0.96357,-0.18145,1.4909,0.37313,20
108,0.96357,-0.70317,1.6548,0.90414,20
109,0.96357,-0.031472,1.5306,0.22049,20
110,0.96357,-0.031472,1.5485,0.22049,20
111,0.96357,-0.14556,1.5844,0.3366,20
112,0.96357,-0.32246,1.619,0.51665,20
113,0.96357,0.10441,1.5703,0.08219,20
114,0.96357,0.14158,1.6241,0.044354,20
115,0.96357,0.10441,1.61,0.08219,20
116,0.96357,0.21849,1.5882,-0.033927,20
117,0.96357,-0.031472,1.6459,0.22049,20
118,0.96357,-0.4327,1.7266,0.62885,20
119,0.96357,-0.70317,1.8021,0.90414,20
120,0.96357,0.10441,1.6689,0.08219,20
121,0.96357,0.69279,1.5216,-0.51666,20
122,0.96357,0.49922,1.5575,-0.31965,20
123,0.96357,0.0044202,1.651,0.18396,20
124,0.96357,0.29156,1.5844,-0.10829,20
125,0.96357,0.10441,1.6151,0.08219,20
126,0.96357,0.36847,1.5485,-0.18657,20
127,0.96357,0.31207,1.5524,-0.12917,20
128,0.96357,0.44282,1.4768,-0.26225,20
129,0.96357,0.46205,1.4332,-0.28182,20
130,0.96357,0.19798,1.4409,-0.013052,20
131,0.96357,1.1632,1.2052,-0.99548,20
132,0.96357,0.36847,1.3256,-0.18657,20
133,0.96357,0.10441,1.3705,0.08219,20
134,0.96357,0.40565,1.2859,-0.22441,20
135,0.96357,-0.28272,1.3743,0.4762,20
136,0.96357,0.12492,1.268,0.061315,20
137,0.96357,0.10441,1.2462,0.08219,20
138,0.96357,-0.072492,1.2641,0.26224,20
139,0.96357,0.55563,1.0989,-0.37706,20
140,0.96357,0.72868,1.0285,-0.55319,20
141,0.96357,0.2749,1.0861,-0.091333,20
142,0.96357,0.36847,1.0323,-0.18657,20
143,0.96357,0.16209,1.0323,0.023479,20
144,0.96357,0.61203,0.89909,-0.43446,20
145,0.96357,-0.28272,1.081,0.4762,20
146,0.96357,0.36847,0.94776,-0.18657,20
147,0.96357,0.10441,1.0144,0.08219,20
148,0.96357,-0.014808,1.0502,0.20353,20
149,0.96357,1.2773,0.78765,-1.1116,20
150,0.96357,0.16209,1.0285,0.023479,20
151,0.96357,0.041595,1.0541,0.14612,20
152,0.96357,0.0044202,1.0951,0.18396,20
153,0.96357,0.42487,1.0233,-0.24398,20
154,0.96357,0.062105,1.104,0.12524,20
155,0.96357,0.29156,1.0771,-0.10829,20
156,0.96357,-0.051982,1.1386,0.24136,20
157,0.96357,0.42487,1.0374,-0.24398,20
158,0.96357,0.5928,0.9785,-0.41489,20
159,0.96357,0.19798,1.0502,-0.013052,20
160,0.96357,0.36847,0.9785,-0.18657,20
161,0.96357,0.91968,0.84529,-0.74759,20
162,0.96357,0.49922,0.885,-0.31965,20
163,0.96357,2.2785,0.44948,-2.1306,20
164,0.96357,0.29156,0.85426,-0.10829,20
165,0.96357,0.44282,0.80558,-0.26225,20
166,0.96357,0.23516,0.85041,-0.050888,20
167,0.96357,0.32873,0.79277,-0.14613,20
168,0.96357,0.87994,0.63266,-0.70714,20
169,0.96357,0.42487,0.7172,-0.24398,20
170,0.96357,0.36847,0.6903,-0.18657,20
171,0.96357,0.69279,0.5827,-0.51666,20
172,0.96357,0.16209,0.69414,0.023479,20
173,0.96357,0.21849,0.67621,-0.033927,20
174,0.96357,0.72868,0.57373,-0.55319,20
175,0.96357,0.36847,0.61857,-0.18657,20
176,0.96357,0.38514,0.57886,-0.20354,20
177,0.96357,0.5928,0.49816,-0.41489,20
178,0.96357,1.0863,0.34317,-0.9172,20
179,0.96357,0.55563,0.3611,-0.37706,20
180,0.96357,0.84277,0.26247,-0.66931,20
181,0.96357,-0.23914,0.41874,0.43185,20
182,0.96357,0.51845,0.23173,-0.33922,20
183,0.96357,0.49922,0.19586,-0.31965,20
184,0.96357,0.49922,0.13822,-0.31965,20
185,0.96357,0.2749,0.16,-0.091333,20
186,0.96357,1.1632,-0.066727,-0.99548,20
187,0.96357,0.49922,0.049837,-0.31965,20
188,0.96357,0.49922,0.0088475,-0.31965,20
189,0.96357,-0.014808,0.058803,0.20353,20
190,0.96357,0.55563,-0.097469,-0.37706,20
191,0.96357,0.46205,-0.088502,-0.28182,20
192,0.96357,0.84277,-0.22172,-0.66931,20
193,0.96357,0.46205,-0.20891,-0.28182,20
194,0.96357,0.91968,-0.39592,-0.74759,20
195,0.96357,0.61203,-0.4177,-0.43446,20
196,0.96357,0.46205,-0.43563,-0.28182,20
197,0.96357,0.71201,-0.56885,-0.53623,20
198,0.96357,0.42487,-0.55091,-0.24398,20
199,0.96357,0.61203,-0.64826,-0.43446,20
200,0.96357,1.6503,-0.92494,-1.4913,20
201,0.96357,0.041595,-0.59959,0.14612,20
202,0.96357,1.294,-0.87115,-1.1286,20
203,0.96357,0.47871,-0.74177,-0.29878,20
204,0.96357,0.078769,-0.66235,0.10828,20
205,0.96357,-0.23914,-0.58166,0.43185,20
206,0.96357,0.91968,-0.8404,-0.74759,20
207,0.96357,0.55563,-0.80838,-0.37706,20
208,0.96357,0.97608,-0.95569,-0.805,20
209,0.96357,0.74919,-0.95569,-0.57407,20
210,0.96357,0.32873,-0.91598,-0.14613,20
211,0.96357,1.5004,-1.2132,-1.3386,20
212,0.96357,0.7697,-1.1068,-0.59494,20
213,0.96357,0.17876,-1.0223,0.0065184,20
214,0.96357,0.31207,-1.0851,-0.12917,20
215,0.96357,0.32873,-1.0851,-0.14613,20
216,0.96357,-0.072492,-0.99539,0.26224,20
217,0.96357,-0.53268,-0.84937,0.73062,20
218,0.96357,0.34924,-1.053,-0.167,20
219,0.96357,0.078769,-1.0133,0.10828,20
220,0.96357,-0.014808,-0.97746,0.20353,20
221,0.96357,-0.50961,-0.85834,0.70713,20
222,0.96357,0.17876,-0.98259,0.0065184,20
223,0.96357,0.2749,-1.0044,-0.091333,20
224,0.96357,0.14158,-1.0005,0.044354,20
225,0.96357,0.23516,-1.0313,-0.050888,20
226,0.96357,-0.58909,-0.84937,0.78802,20
227,0.96357,0.25567,-1.062,-0.071763,20
228,0.96357,0.0044202,-1.0133,0.18396,20
229,0.96357,0.87994,-1.2132,-0.70714,20
230,0.96357,0.32873,-1.1158,-0.14613,20
231,0.96357,0.12492,-1.0761,0.061315,20
232,0.96357,0.041595,-1.0274,0.14612,20
233,0.96357,-0.031472,-1.0095,0.22049,20
234,0.96357,0.17876,-1.0364,0.0065184,20
235,0.96357,0.47871,-1.0851,-0.29878,20
236,0.96357,0.078769,-1.0274,0.10828,20
237,0.96357,0.44282,-1.1606,-0.26225,20
238,0.96357,0.62869,-1.2132,-0.45143,20
239,0.96357,0.46205,-1.2093,-0.28182,20
240,0.96357,0.87994,-1.3297,-0.70714,20
241,0.96357,0.84277,-1.3784,-0.66931,20
242,0.96357,0.42487,-1.3425,-0.24398,20
243,0.96357,0.44282,-1.3694,-0.26225,20
244,0.96357,-0.30195,-1.2003,0.49578,20
245,0.96357,0.34924,-1.3733,-0.167,20
246,0.96357,-0.14556,-1.3028,0.3366,20
247,0.96357,0.32873,-1.4271,-0.14613,20
248,0.96357,-0.051982,-1.3387,0.24136,20
249,0.96357,0.21849,-1.4232,-0.033927,20
250,0.96357,0.0044202,-1.4002,0.18396,20
251,0.96357,0.46205,-1.4937,-0.28182,20
252,0.96357,0.40565,-1.4937,-0.22441,20
253,0.96357,0.25567,-1.4578,-0.071763,20
254,0.96357,0.65561,-1.5692,-0.47882,20
255,0.96357,0.0044202,-1.454,0.18396,20
256,0.96357,0.32873,-1.5513,-0.14613,20
257,0.96357,0.36847,-1.5654,-0.18657,20
258,0.96357,-0.55319,-1.3694,0.75149,20
259,0.96357,0.17876,-1.5206,0.0065184,20
260,0.96357,0.44282,-1.5564,-0.26225,20
261,0.96357,0.062105,-1.4847,0.12524,20
262,0.96357,-0.20196,-1.4143,0.39401,20
263,0.96357,-0.26606,-1.3733,0.45924,20
264,0.96357,-0.26606,-1.3387,0.45924,20
265,0.96357,0.14158,-1.3963,0.044354,20
266,0.96357,0.89917,-1.5423,-0.72671,20
267,0.96357,0.2749,-1.4091,-0.091333,20
268,0.96357,1.3299,-1.6499,-1.1651,20
269,0.96357,0.078769,-1.3643,0.10828,20
270,0.96357,-0.072492,-1.3118,0.26224,20
271,0.96357,0.02493,-1.3425,0.16308,20
272,0.96357,-0.051982,-1.2849,0.24136,20
273,0.96357,0.02493,-1.281,0.16308,20
274,0.96357,-0.14556,-1.2362,0.3366,20
275,0.96357,-0.14556,-1.2093,0.3366,20
276,0.96357,-0.3763,-1.112,0.57145,20
277,0.96357,-0.47244,-1.0671,0.6693,20
278,0.96357,0.72868,-1.2977,-0.55319,20
279,0.96357,-0.18145,-1.0889,0.37313,20
280,0.96357,0.36847,-1.2003,-0.18657,20
281,0.96357,0.2749,-1.1517,-0.091333,20
282,0.96357,0.42487,-1.2003,-0.24398,20
283,0.96357,-0.014808,-1.071,0.20353,20
284,0.96357,-0.97621,-0.80838,1.182,20
285,0.96357,-0.35835,-0.86218,0.55318,20
286,0.96357,-0.089157,-0.87115,0.2792,20
287,0.96357,-0.12505,-0.85834,0.31573,20
288,0.96357,0.25567,-0.93775,-0.071763,20
289,0.96357,0.23516,-0.90189,-0.050888,20
290,0.96357,-0.32246,-0.7597,0.51665,20
291,0.96357,-0.23914,-0.74177,0.43185,20
292,0.96357,-0.4891,-0.63546,0.68626,20
293,0.96357,-0.14556,-0.65339,0.3366,20
294,0.96357,-0.10838,-0.63161,0.29877,20
295,0.96357,-0.18145,-0.57781,0.37313,20
296,0.96357,-0.051982,-0.56372,0.24136,20
297,0.96357,-0.55319,-0.38696,0.75149,20
298,0.96357,-0.12505,-0.43051,0.31573,20
299,0.96357,-0.39552,-0.34597,0.59102,20
300,0.96357,-0.62626,-0.23965,0.82586,20
301,0.96357,-0.73907,-0.15511,0.94067,20
302,0.96357,-0.051982,-0.23581,0.24136,20
303,0.96357,0.041595,-0.19098,0.14612,20
304,0.96357,-0.32246,-0.12821,0.51665,20
305,0.96357,-0.031472,-0.097469,0.22049,20
306,0.96357,-0.30195,0.013971,0.49578,20
307,0.96357,-0.089157,-0.0039617,0.2792,20
308,0.96357,-0.35835,0.10235,0.55318,20
309,0.96357,-0.089157,0.084422,0.2792,20
310,0.96357,-0.26606,0.12925,0.45924,20
311,0.96357,-0.26606,0.19202,0.45924,20
312,0.96357,0.2749,0.12541,-0.091333,20
313,0.96357,-0.031472,0.20995,0.22049,20
314,0.96357,-0.3763,0.3342,0.57145,20
315,0.96357,0.29156,0.23685,-0.10829,20
316,0.96357,-0.20196,0.36494,0.39401,20
317,0.96357,-0.072492,0.38288,0.26224,20
318,0.96357,0.42487,0.29834,-0.24398,20
319,0.96357,-0.22247,0.44948,0.41488,20
320,0.96357,0.16209,0.42258,0.023479,20
321,0.96357,-0.30195,0.56477,0.49578,20
322,0.96357,0.21849,0.47254,-0.033927,20
323,0.96357,-0.072492,0.53915,0.26224,20
324,0.96357,-0.32246,0.61857,0.51665,20
325,0.96357,0.078769,0.55708,0.10828,20
326,0.96357,0.10441,0.56092,0.08219,20
327,0.96357,-0.30195,0.6903,0.49578,20
328,0.96357,-0.41603,0.77868,0.61189,20
329,0.96357,0.10441,0.67621,0.08219,20
330,0.96357,-0.41603,0.77868,0.61189,20
331,0.96357,0.12492,0.6903,0.061315,20
332,0.96357,-0.20196,0.80046,0.39401,20
333,0.96357,0.041595,0.79661,0.14612,20
334,0.96357,0.51845,0.74282,-0.33922,20
335,0.96357,0.041595,0.86322,0.14612,20
336,0.96357,-0.32246,0.98747,0.51665,20
337,0.96357,-0.014808,0.92086,0.20353,20
338,0.96357,0.47871,0.78765,-0.29878,20
339,0.96357,0.21849,0.86322,-0.033927,20
340,0.96357,0.61203,0.77484,-0.43446,20
341,0.96357,0.36847,0.80942,-0.18657,20
342,0.96357,0.16209,0.85426,0.023479,20
343,0.96357,0.078769,0.87219,0.10828,20
344,0.96357,-0.4891,0.99644,0.68626,20
345,0.96357,-0.32246,1.0016,0.51665,20
346,0.96357,-0.014808,0.9657,0.20353,20
347,0.96357,-0.051982,1.0195,0.24136,20
348,0.96357,-0.14556,1.0951,0.3366,20
349,0.96357,-0.20196,1.1297,0.39401,20
350,0.96357,-0.014808,1.0989,0.20353,20
351,0.96357,0.21849,1.0899,-0.033927,20
352,0.96357,-0.16479,1.1655,0.35617,20
353,0.96357,0.25567,1.0861,-0.071763,20
354,0.96357,0.17876,1.0861,0.0065184,20
355,0.96357,0.51845,1.0105,-0.33922,20
356,0.96357,0.84277,0.91702,-0.66931,20
357,0.96357,0.44282,0.97466,-0.26225,20
358,0.96357,0.12492,1.0233,0.061315,20
359,0.96357,0.42487,0.96057,-0.24398,20
360,0.96357,-0.28272,1.0951,0.4762,20
361,0.96357,0.23516,0.95289,-0.050888,20
362,0.96357,0.078769,0.9785,0.10828,20
363,0.96357,0.062105,0.98747,0.12524,20
364,0.96357,0.16209,0.9388,0.023479,20
365,0.96357,0.21849,0.94776,-0.033927,20
366,0.96357,0.29156,0.9388,-0.10829,20
367,0.96357,0.21849,0.93495,-0.033927,20
368,0.96357,0.14158,0.9388,0.044354,20
369,0.96357,0.2749,0.89909,-0.091333,20
370,0.96357,0.38514,0.86322,-0.20354,20
371,0.96357,0.12492,0.89909,0.061315,20
372,0.96357,0.47871,0.82736,-0.29878,20
373,0.96357,0.17876,0.88115,0.0065184,20
374,0.96357,-0.014808,0.94776,0.20353,20
375,0.96357,0.10441,0.9119,0.08219,20
376,0.96357,-0.12505,0.98747,0.31573,20
377,0.96357,0.12492,0.93495,0.061315,20
378,0.96357,-0.18145,0.9785,0.37313,20
379,0.96357,0.29156,0.90293,-0.10829,20
380,0.96357,0.40565,0.89012,-0.22441,20
381,0.96357,0.062105,1.0144,0.12524,20
382,0.96357,0.47871,0.89396,-0.29878,20
383,0.96357,0.44282,0.89396,-0.26225,20
384,0.96357,0.041595,0.9657,0.14612,20
385,0.96357,1.6311,0.63266,-1.4717,20
386,0.96357,0.97608,0.75691,-0.805,20
387,0.96357,0.14158,0.92086,0.044354,20
388,0.96357,0.14158,0.89909,0.044354,20
389,0.96357,-0.30195,1.0105,0.49578,20
390,0.96357,0.10441,0.94392,0.08219,20
391,0.96357,0.2749,0.90805,-0.091333,20
392,0.96357,0.02493,0.94776,0.16308,20
393,0.96357,0.8261,0.78765,-0.65235,20
394,0.96357,-0.32246,1.0285,0.51665,20
395,0.96357,1.1799,0.70311,-1.0124,20
396,0.96357,0.2749,0.89396,-0.091333,20
397,0.96357,0.29156,0.86322,-0.10829,20
398,0.96357,0.10441,0.88115,0.08219,20
399,0.96357,0.2749,0.81839,-0.091333,20
400,0.96357,0.29156,0.80046,-0.10829,20
401,0.96357,0.16209,0.80046,0.023479,20
402,0.96357,0.55563,0.71207,-0.37706,20
403,0.96357,0.14158,0.78765,0.044354,20
404,0.96357,0.38514,0.73385,-0.20354,20
405,0.96357,0.55563,0.69414,-0.37706,20
406,0.96357,0.31207,0.75178,-0.12917,20
407,0.96357,0.47871,0.68517,-0.29878,20
408,0.96357,0.47871,0.66724,-0.29878,20
409,0.96357,0.46205,0.66724,-0.28182,20
410,0.96357,-0.031472,0.76075,0.22049,20
411,0.96357,0.61203,0.59679,-0.43446,20
412,0.96357,-0.33912,0.78765,0.53361,20
413,0.96357,0.46205,0.6096,-0.28182,20
414,0.96357,0.29156,0.64034,-0.10829,20
415,0.96357,0.10441,0.65443,0.08219,20
416,0.96357,-0.051982,0.66724,0.24136,20
417,0.96357,0.38514,0.56092,-0.20354,20
418,0.96357,-0.12505,0.68133,0.31573,20
419,0.96357,0.34924,0.58782,-0.167,20
420,0.96357,0.40565,0.56989,-0.22441,20
421,0.96357,0.74919,0.49816,-0.57407,20
422,0.96357,-0.10838,0.64931,0.29877,20
423,0.96357,0.29156,0.57886,-0.10829,20
424,0.96357,-0.32246,0.70311,0.51665,20
425,0.96357,-0.73907,0.77868,0.94067,20
426,0.96357,0.25567,0.57886,-0.071763,20
427,0.96357,0.62869,0.50713,-0.45143,20
428,0.96357,0.041595,0.64547,0.14612,20
429,0.96357,-0.26606,0.7172,0.45924,20
430,0.96357,-0.051982,0.70823,0.24136,20
431,0.96357,-0.089157,0.7172,0.2792,20
432,0.96357,-0.014808,0.70311,0.20353,20
433,0.96357,0.25567,0.64931,-0.071763,20
434,0.96357,0.16209,0.73001,0.023479,20
435,0.96357,-0.41603,0.77868,0.61189,20
436,0.96357,0.34924,0.65443,-0.167,20
437,0.96357,0.062105,0.74794,0.12524,20
438,0.96357,-0.3763,0.885,0.57145,20
439,0.96357,-0.64549,0.95673,0.84543,20
440,0.96357,-0.23914,0.89012,0.43185,20
441,0.96357,0.23516,0.82736,-0.050888,20
442,0.96357,0.10441,0.87731,0.08219,20
443,0.96357,-0.089157,0.9388,0.2792,20
444,0.96357,-0.30195,0.99259,0.49578,20
445,0.96357,-0.031472,0.95673,0.22049,20
446,0.96357,-0.072492,1.0054,0.26224,20
447,0.96357,-0.4891,1.0861,0.68626,20
448,0.96357,-0.28272,1.0989,0.4762,20
449,0.96357,0.17876,1.0323,0.0065184,20
450,0.96357,-0.28272,1.1745,0.4762,20
451,0.96357,-0.3763,1.2052,0.57145,20
452,0.96357,-0.55319,1.268,0.75149,20
453,0.96357,0.062105,1.1566,0.12524,20
454,0.96357,-0.33912,1.2552,0.53361,20
455,0.96357,0.041595,1.1706,0.14612,20
456,0.96357,-0.26606,1.2283,0.45924,20
