time,SP,PV,OP,ts
1,70,68.88,52.25,1
2,70,67.5,52.34,1
3,70,69.25,52.26,1
4,70,68.5,52.31,1
5,70,68.5,52.33,1
6,70,68.69,52.33,1
7,70,68.63,52.35,1
8,70,69.25,52.33,1
9,70,69.31,52.33,1
10,70,69.19,52.34,1
11,70,69.38,52.34,1
12,70,68.69,52.39,1
13,70,69,52.38,1
14,70,69.5,52.36,1
15,70,70.56,52.3,1
16,70,68.44,52.43,1
17,70,68.94,52.41,1
18,70,69.63,52.38,1
19,70,69.69,52.38,1
20,70,70.31,52.35,1
21,70,70.44,52.34,1
22,70,70.06,52.35,1
23,70,70.25,52.34,1
24,70,70.75,52.31,1
25,70,70.94,52.29,1
26,70,70.69,52.3,1
27,70,70.19,52.32,1
28,70,70.13,52.32,1
29,70,70.44,52.3,1
30,70,70.25,52.31,1
31,70,70.56,52.29,1
32,70,71.19,52.24,1
33,70,69.13,52.36,1
34,70,70.25,52.3,1
35,70,70.69,52.27,1
36,70,70.88,52.25,1
37,70,70.56,52.26,1
38,70,70.81,52.24,1
39,70,70.5,52.25,1
40,70,70.06,52.27,1
41,70,69.69,52.29,1
42,70,70.75,52.23,1
43,70,70.31,52.25,1
44,70,71.06,52.2,1
45,70,70.63,52.22,1
46,70,70.94,52.19,1
47,70,70.19,52.23,1
48,70,70.94,52.18,1
49,70,70.13,52.22,1
50,70,70.81,52.18,1
51,70,70.38,52.2,1
52,70,69.94,52.22,1
53,70,70.31,52.2,1
54,70,70.38,52.19,1
55,70,70.5,52.18,1
56,70,71.06,52.14,1
57,70,70.94,52.14,1
58,70,70.88,52.13,1
59,70,70.19,52.17,1
60,70,69.69,52.19,1
61,70,70.13,52.17,1
62,70,71.44,52.09,1
63,70,70.75,52.12,1
64,70,70.88,52.1,1
65,70,70.19,52.14,1
66,70,70.25,52.13,1
67,70,70.5,52.11,1
68,70,71.06,52.07,1
69,70,70.75,52.08,1
70,70,70.69,52.08,1
71,70,70.44,52.09,1
72,70,70.88,52.06,1
73,70,70.75,52.05,1
74,70,71.19,52.02,1
75,70,70.19,52.07,1
76,70,70.88,52.03,1
77,70,70.56,52.04,1
78,70,70.81,52.01,1
79,70,71.31,51.98,1
80,70,70.81,51.99,1
81,70,71.38,51.95,1
82,70,70.94,51.96,1
83,70,70.56,51.98,1
84,70,70.56,51.97,1
85,70,70.13,51.99,1
86,70,70.19,51.99,1
87,70,70.69,51.96,1
88,70,70.56,51.96,1
89,70,70.81,51.94,1
90,70,70.69,51.93,1
91,70,70.13,51.96,1
92,70,70.5,51.94,1
93,70,70.63,51.93,1
94,70,70.13,51.95,1
95,70,69,52.02,1
96,70,70.13,51.96,1
97,70,69.69,51.98,1
98,70,70.69,51.93,1
99,70,69.75,51.98,1
100,70,69.44,52,1
101,70,69.81,51.98,1
102,70,70.06,51.97,1
103,70,70.19,51.96,1
104,70,70.69,51.93,1
105,70,69.69,51.98,1
106,70,70.63,51.93,1
107,70,70.25,51.94,1
108,70,70.13,51.95,1
109,70,70.38,51.93,1
110,70,69.94,51.95,1
111,70,70.06,51.95,1
112,70,70.31,51.93,1
113,70,70.31,51.93,1
114,70,70.56,51.91,1
115,70,70.38,51.92,1
116,70,70,51.93,1
117,70,71.19,51.86,1
118,70,70.88,51.87,1
119,70,69.63,51.94,1
120,70,70.63,51.88,1
121,70,70.69,51.87,1
122,70,70.63,51.87,1
123,70,70.63,51.86,1
124,70,70.38,51.87,1
125,70,70.56,51.85,1
126,70,69.88,51.89,1
127,70,70.25,51.87,1
128,70,69.44,51.92,1
129,70,70.38,51.86,1
130,70,69.56,51.91,1
131,70,70.31,51.87,1
132,70,70.38,51.86,1
133,70,70.5,51.85,1
134,70,69.94,51.88,1
135,70,70.5,51.85,1
136,70,69.94,51.88,1
137,70,70.25,51.86,1
138,70,70,51.87,1
139,70,70.5,51.84,1
140,70,69.38,51.9,1
141,70,69.38,51.91,1
142,70,69.31,51.92,1
143,70,69.38,51.92,1
144,70,69.63,51.91,1
145,70,69.19,51.94,1
146,70,69.69,51.92,1
147,70,70.19,51.89,1
148,70,69.69,51.92,1
149,70,70.13,51.9,1
150,70,70.44,51.88,1
151,70,70.06,51.9,1
152,70,70.38,51.88,1
153,70,70.5,51.87,1
154,70,70.88,51.84,1
155,70,70.69,51.84,1
156,70,71.5,51.79,1
157,70,70.63,51.82,1
158,70,70.25,51.84,1
159,70,70.81,51.8,1
160,70,71.13,51.78,1
161,70,70.88,51.78,1
162,70,70.81,51.78,1
163,70,70.81,51.77,1
164,70,70.63,51.77,1
165,70,70.81,51.75,1
166,70,71.31,51.71,1
167,70,70.44,51.75,1
168,70,71.19,51.7,1
