time,SP,PV,OP,ts
1,70,67.75,35.41,1
2,70,66.75,35.66,1
3,70,65.94,35.88,1
4,70,66,35.93,1
5,70,66.19,35.95,1
6,70,65.5,36.15,1
7,70,65.06,36.31,1
8,70,64.5,36.51,1
9,70,64.94,36.49,1
10,70,65.88,36.37,1
11,70,65.19,36.58,1
12,70,68.44,35.95,1
13,70,70.38,35.56,1
14,70,72.5,35.1,1
15,70,74.56,34.62,1
16,70,72.44,35,1
17,70,73.19,34.81,1
18,70,75.69,34.22,1
19,70,75.44,34.19,1
20,70,74.19,34.38,1
21,70,77.56,33.59,1
22,70,74.69,34.1,1
23,70,76.69,33.6,1
24,70,74.38,34,1
25,70,73.19,34.19,1
26,70,71.94,34.41,1
27,70,69.44,34.92,1
28,70,68.38,35.15,1
29,70,68.19,35.22,1
30,70,67.75,35.34,1
31,70,67.06,35.52,1
32,70,66.5,35.68,1
33,70,67.13,35.6,1
34,70,66.69,35.74,1
35,70,65.88,35.96,1
36,70,65.63,36.08,1
37,70,65.56,36.16,1
38,70,65.25,36.29,1
39,70,64.63,36.49,1
40,70,65.44,36.4,1
41,70,66.81,36.17,1
42,70,68.75,35.8,1
43,70,70.31,35.48,1
44,70,71.38,35.25,1
45,70,72.69,34.95,1
46,70,72.5,34.95,1
47,70,73.63,34.67,1
48,70,73.94,34.55,1
49,70,74.69,34.33,1
50,70,73.63,34.49,1
51,70,76.94,33.72,1
52,70,74.63,34.12,1
53,70,76.44,33.66,1
54,70,75.25,33.82,1
55,70,72.56,34.32,1
56,70,71.94,34.42,1
57,70,69,35.02,1
58,70,68.31,35.18,1
59,70,66.88,35.51,1
60,70,66.75,35.59,1
61,70,66.06,35.78,1
62,70,65.19,36.03,1
63,70,65.06,36.13,1
64,70,65.06,36.2,1
65,70,64.88,36.31,1
66,70,64.94,36.38,1
67,70,64.81,36.48,1
68,70,64.81,36.55,1
69,70,66.5,36.27,1
70,70,67.44,36.12,1
71,70,69.75,35.66,1
72,70,72.06,35.17,1
73,70,71.69,35.22,1
74,70,73.25,34.86,1
75,70,73.56,34.74,1
