Time,SP,PV,OP,ts
0,50,53.992,46.533,2
2,50,54.256,45.731,2
4,50,54.933,44.061,2
6,50,55.344,42.887,2
8,50,56.169,40.844,2
10,50,56.169,40.432,2
12,50,56.85,38.617,2
14,50,57.223,37.404,2
16,50,56.959,37.45,2
18,50,57.075,36.756,2
20,50,56.696,37.059,2
22,50,57.525,34.924,2
24,50,57.296,34.886,2
26,50,57.978,32.992,2
28,50,58.129,32.157,2
30,50,57.9,32.087,2
32,50,58.164,31.016,2
34,50,58.164,30.471,2
36,50,58.013,30.23,2
38,50,57.56,30.625,2
40,50,58.539,28.115,2
42,50,57.939,28.774,2
44,50,57.9,28.312,2
46,50,58.241,27.093,2
48,50,58.164,26.69,2
50,50,58.013,26.466,2
52,50,56.85,28.315,2
54,50,58.241,25.005,2
56,50,57.676,25.612,2
58,50,57.412,25.645,2
60,50,57.149,25.704,2
62,50,57.377,24.755,2
64,50,57.075,24.893,2
66,50,56.696,25.196,2
68,50,56.812,24.506,2
70,50,56.471,24.76,2
72,50,56.696,23.866,2
74,50,56.134,24.567,2
76,50,56.25,23.927,2
78,50,56.022,23.978,2
80,50,55.681,24.273,2
82,50,54.744,25.819,2
84,50,54.364,26.282,2
86,50,54.217,26.3,2
88,50,53.803,26.87,2
90,50,53.164,27.929,2
92,50,52.037,30.032,2
94,50,51.696,30.593,2
96,50,50.534,32.866,2
98,50,50.158,33.598,2
100,50,49.554,34.831,2
102,50,49.143,35.7,2
104,50,48.764,36.533,2
106,50,48.237,37.691,2
108,50,47.528,39.27,2
110,50,46.285,41.973,2
112,50,45.685,43.454,2
114,50,45.305,44.517,2
116,50,45.123,45.201,2
118,50,44.442,46.93,2
120,50,44.07,48.057,2
122,50,43.806,48.997,2
124,50,43.578,49.878,2
126,50,43.164,51.148,2
128,50,42.718,52.516,2
130,50,42.226,54.012,2
132,50,42.489,53.986,2
134,50,42.374,54.726,2
136,50,42.489,54.991,2
138,50,42.338,55.811,2
140,50,42.374,56.249,2
142,50,42.637,56.227,2
144,50,42.374,57.262,2
146,50,42.338,57.847,2
148,50,42.489,58.046,2
150,50,42.791,57.932,2
152,50,42.942,58.106,2
154,50,42.942,58.581,2
156,50,43.206,58.52,2
158,50,43.318,58.745,2
160,50,43.469,58.887,2
162,50,43.617,59.022,2
164,50,43.88,58.916,2
166,50,43.996,59.089,2
168,50,43.996,59.493,2
170,50,44.259,59.353,2
172,50,44.558,59.129,2
174,50,44.67,59.267,2
176,50,44.821,59.319,2
178,50,45.084,59.129,2
180,50,45.348,58.921,2
182,50,45.348,59.235,2
184,50,45.611,59.001,2
186,50,45.723,59.065,2
188,50,45.874,59.038,2
190,50,45.987,59.085,2
192,50,46.138,59.045,2
194,50,46.548,58.459,2
196,50,46.664,58.453,2
198,50,46.963,58.059,2
200,50,47.075,58.029,2
202,50,47.191,57.985,2
204,50,47.454,57.628,2
206,50,47.718,57.253,2
208,50,48.129,56.56,2
210,50,48.129,56.685,2
212,50,48.279,56.497,2
214,50,48.543,56.068,2
216,50,48.655,55.937,2
218,50,48.69,55.95,2
220,50,48.919,55.573,2
222,50,48.919,55.645,2
224,50,49.182,55.177,2
226,50,49.217,55.164,2
228,50,49.217,55.216,2
230,50,49.333,55.032,2
232,50,49.48,54.777,2
234,50,49.48,54.815,2
236,50,49.48,54.85,2
238,50,49.596,54.649,2
240,50,49.596,54.676,2
242,50,49.596,54.703,2
244,50,49.596,54.73,2
246,50,49.596,54.757,2
248,50,49.596,54.784,2
250,50,49.596,54.811,2
252,50,49.48,55.073,2
254,50,49.48,55.108,2
256,50,49.256,55.599,2
258,50,49.143,55.877,2
260,50,49.143,55.931,2
262,50,49.143,55.988,2
264,50,48.992,56.357,2
266,50,48.992,56.424,2
