Time,SP,PV,OP,ts
1,4.87,4.89,46.95,1
2,4.87,4.88,46.88,1
3,4.87,4.88,46.9,1
4,4.87,4.88,46.91,1
5,4.87,4.87,46.84,1
6,4.87,4.88,46.96,1
7,4.87,4.87,46.89,1
8,4.87,4.87,46.81,1
9,4.87,4.87,46.73,1
10,4.87,4.87,46.77,1
11,4.87,4.87,46.92,1
12,4.87,4.87,46.88,1
13,4.87,4.87,46.91,1
14,4.87,4.87,46.9,1
15,4.87,4.87,46.8,1
16,4.87,4.86,46.59,1
17,4.87,4.86,46.5,1
18,4.87,4.86,46.56,1
19,4.87,4.87,46.58,1
20,4.87,4.87,46.74,1
21,4.87,4.88,46.83,1
22,4.87,4.87,46.71,1
23,4.87,4.88,46.87,1
24,4.87,4.87,46.88,1
25,4.87,4.87,46.73,1
26,4.87,4.86,46.56,1
27,4.87,4.87,46.84,1
28,4.87,4.87,46.79,1
29,4.87,4.88,46.91,1
30,4.87,4.87,46.68,1
31,4.87,4.87,46.8,1
32,4.87,4.87,46.64,1
33,4.87,4.86,46.52,1
34,4.87,4.86,46.36,1
35,4.87,4.86,46.28,1
36,4.87,4.86,46.39,1
37,4.87,4.86,46.25,1
38,4.87,4.86,46.1,1
39,4.87,4.86,46.11,1
40,4.87,4.85,45.92,1
41,4.87,4.86,45.98,1
42,4.87,4.85,45.75,1
43,4.87,4.86,45.73,1
44,4.87,4.86,45.7,1
45,4.87,4.86,45.7,1
46,4.87,4.86,45.53,1
47,4.87,4.86,45.54,1
48,4.87,4.86,45.59,1
49,4.87,4.86,45.56,1
50,4.87,4.86,45.55,1
51,4.87,4.86,45.41,1
52,4.87,4.87,45.57,1
53,4.87,4.86,45.39,1
54,4.87,4.86,45.42,1
55,4.87,4.87,45.54,1
56,4.87,4.87,45.45,1
57,4.87,4.86,45.32,1
58,4.87,4.87,45.38,1
59,4.87,4.86,45.1,1
60,4.87,4.85,44.78,1
61,4.87,4.83,44.28,1
62,4.87,4.84,44.33,1
63,4.87,4.85,44.39,1
64,4.87,4.85,44.32,1
65,4.87,4.86,44.37,1
66,4.87,4.85,44.22,1
67,4.87,4.86,44.26,1
68,4.87,4.86,44.19,1
69,4.87,4.87,44.44,1
70,4.87,4.87,44.56,1
71,4.87,4.88,44.69,1
72,4.87,4.88,44.83,1
73,4.87,4.87,44.69,1
74,4.87,4.87,44.63,1
75,4.87,4.87,44.51,1
76,4.87,4.86,44.45,1
77,4.87,4.86,44.29,1
78,4.87,4.86,44.2,1
79,4.87,4.86,44.09,1
80,4.87,4.86,44.1,1
81,4.87,4.86,43.96,1
82,4.87,4.86,43.88,1
83,4.87,4.85,43.72,1
84,4.87,4.85,43.62,1
85,4.87,4.86,43.62,1
86,4.87,4.87,43.79,1
87,4.87,4.86,43.6,1
88,4.87,4.86,43.49,1
89,4.87,4.86,43.38,1
90,4.87,4.86,43.51,1
91,4.87,4.87,43.66,1
92,4.87,4.87,43.62,1
93,4.87,4.86,43.51,1
94,4.87,4.87,43.62,1
95,4.87,4.87,43.69,1
96,4.87,4.88,43.91,1
97,4.87,4.87,43.71,1
98,4.87,4.87,43.68,1
99,4.87,4.87,43.73,1
100,4.87,4.87,43.75,1
101,4.87,4.88,43.87,1
102,4.87,4.88,44.06,1
103,4.87,4.89,44.25,1
104,4.87,4.89,44.43,1
105,4.87,4.88,44.41,1
106,4.87,4.88,44.47,1
107,4.87,4.89,44.71,1
108,4.87,4.87,44.38,1
109,4.87,4.87,44.34,1
110,4.87,4.88,44.56,1
111,4.87,4.89,44.87,1
112,4.87,4.89,44.91,1
113,4.87,4.89,45.01,1
114,4.87,4.89,45.14,1
115,4.87,4.89,45.27,1
116,4.87,4.89,45.33,1
117,4.87,4.89,45.58,1
118,4.87,4.89,45.7,1
119,4.87,4.9,45.95,1
120,4.87,4.9,46.23,1
121,4.87,4.9,46.37,1
122,4.87,4.9,46.56,1
123,4.87,4.9,46.75,1
124,4.87,4.91,47.01,1
125,4.87,4.89,46.87,1
126,4.87,4.88,46.74,1
127,4.87,4.89,47.05,1
128,4.87,4.9,47.3,1
129,4.87,4.9,47.45,1
130,4.87,4.89,47.49,1
131,4.87,4.89,47.61,1
132,4.87,4.9,47.82,1
133,4.87,4.89,47.72,1
134,4.87,4.88,47.64,1
135,4.87,4.88,47.59,1
136,4.87,4.88,47.68,1
137,4.87,4.88,47.81,1
138,4.87,4.88,47.74,1
139,4.87,4.89,48.05,1
140,4.87,4.89,48.31,1
141,4.87,4.89,48.43,1
142,4.87,4.89,48.42,1
143,4.87,4.89,48.67,1
144,4.87,4.89,48.82,1
145,4.87,4.88,48.69,1
146,4.87,4.89,48.8,1
147,4.87,4.88,48.81,1
148,4.87,4.88,48.85,1
149,4.87,4.88,48.8,1
150,4.87,4.87,48.77,1
151,4.87,4.87,48.72,1
152,4.87,4.87,48.55,1
153,4.87,4.86,48.43,1
154,4.87,4.87,48.55,1
155,4.87,4.86,48.35,1
156,4.87,4.87,48.51,1
157,4.87,4.87,48.52,1
158,4.87,4.87,48.57,1
159,4.87,4.87,48.54,1
160,4.87,4.87,48.43,1
161,4.87,4.86,48.26,1
162,4.87,4.86,48.23,1
163,4.87,4.87,48.31,1
164,4.87,4.87,48.34,1
165,4.87,4.86,48.11,1
166,4.87,4.86,48.15,1
167,4.87,4.86,48.02,1
168,4.87,4.85,47.62,1
169,4.87,4.84,47.38,1
170,4.87,4.84,47.17,1
171,4.87,4.85,47.19,1
172,4.87,4.85,47.22,1
173,4.87,4.85,46.98,1
174,4.87,4.84,46.75,1
175,4.87,4.85,46.65,1
176,4.87,4.85,46.52,1
177,4.87,4.85,46.41,1
178,4.87,4.85,46.26,1
179,4.87,4.84,45.99,1
180,4.87,4.84,45.84,1
181,4.87,4.84,45.74,1
182,4.87,4.85,45.64,1
