Time,SP,PV,OP,Error,ts
1,0,-1.5707,-0.80926,1.5707,20
2,0,-1.4994,-0.80926,1.4994,20
3,0,-1.2357,-0.80926,1.2357,20
4,0,-0.74773,-0.80926,0.74773,20
5,0,-0.14244,-0.51187,0.14244,20
6,0,0.34905,-0.384,-0.34905,20
7,0,0.58485,-0.54661,-0.58485,20
8,0,0.67465,-0.59232,-0.67465,20
9,0,0.68768,-0.71637,-0.68768,20
10,0,0.53894,-0.79854,-0.53894,20
11,0,0.27022,-0.80926,-0.27022,20
12,0,-0.014942,-0.80926,0.014942,20
13,0,-0.37002,-0.80926,0.37002,20
14,0,-0.80736,-0.80926,0.80736,20
15,0,-1.257,-0.80926,1.257,20
16,0,-1.5925,-0.80926,1.5925,20
17,0,-1.7936,-0.80926,1.7936,20
18,0,-1.8185,-0.80926,1.8185,20
19,0,-1.543,-0.80926,1.543,20
20,0,-1.0354,-0.80926,1.0354,20
21,0,-0.4276,-0.80926,0.4276,20
22,0,0.15712,-0.52025,-0.15712,20
23,0,0.54688,-0.36663,-0.54688,20
24,0,0.74951,-0.29406,-0.74951,20
25,0,0.81778,-0.21534,-0.81778,20
26,0,0.68069,-0.54661,-0.68069,20
27,0,0.43144,-0.77895,-0.43144,20
28,0,0.18686,-0.80926,-0.18686,20
29,0,-0.11502,-0.80926,0.11502,20
30,0,-0.50685,-0.80926,0.50685,20
31,0,-0.94995,-0.80926,0.94995,20
32,0,-1.3181,-0.80926,1.3181,20
33,0,-1.5529,-0.80926,1.5529,20
34,0,-1.7225,-0.80926,1.7225,20
35,0,-1.6722,-0.80926,1.6722,20
36,0,-1.3047,-0.80926,1.3047,20
37,0,-0.7761,-0.80926,0.7761,20
38,0,-0.29297,-0.80926,0.29297,20
39,0,0.11339,-0.75167,-0.11339,20
40,0,0.41499,-0.62632,-0.41499,20
41,0,0.49972,-0.66358,-0.49972,20
42,0,0.37661,-0.78893,-0.37661,20
43,0,0.1578,-0.80926,-0.1578,20
44,0,-0.072521,-0.80926,0.072521,20
45,0,-0.30284,-0.80926,0.30284,20
46,0,-0.64737,-0.80926,0.64737,20
47,0,-1.1262,-0.80926,1.1262,20
48,0,-1.5018,-0.80926,1.5018,20
49,0,-1.7319,-0.80926,1.7319,20
50,0,-1.8844,-0.80926,1.8844,20
51,0,-1.8452,-0.80926,1.8452,20
52,0,-1.5921,-0.80926,1.5921,20
53,0,-1.1158,-0.80926,1.1158,20
54,0,-0.51262,-0.80926,0.51262,20
55,0,0.065121,-0.64172,-0.065121,20
56,0,0.52823,-0.45822,-0.52823,20
57,0,0.77665,-0.45828,-0.77665,20
58,0,0.90196,-0.13114,-0.90196,20
59,0,0.87957,-0.12911,-0.87957,20
60,0,0.70181,-0.48883,-0.70181,20
61,0,0.50073,-0.63433,-0.50073,20
62,0,0.21031,-0.78524,-0.21031,20
63,0,-0.18522,-0.80926,0.18522,20
64,0,-0.59418,-0.80926,0.59418,20
65,0,-1.0004,-0.80926,1.0004,20
66,0,-1.3549,-0.80926,1.3549,20
67,0,-1.5279,-0.80926,1.5279,20
68,0,-1.4748,-0.80926,1.4748,20
69,0,-1.1237,-0.80926,1.1237,20
70,0,-0.53728,-0.77052,0.53728,20
71,0,0.031122,-0.68619,-0.031122,20
72,0,0.5392,-0.26936,-0.5392,20
73,0,0.90073,0.04367,-0.90073,20
74,0,0.99561,-0.15868,-0.99561,20
75,0,0.94282,-0.20925,-0.94282,20
76,0,0.78064,-0.22729,-0.78064,20
77,0,0.57212,-0.20931,-0.57212,20
78,0,0.30697,-0.38572,-0.30697,20
79,0,-0.079106,-0.7505,0.079106,20
80,0,-0.48725,-0.80926,0.48725,20
81,0,-0.89813,-0.80926,0.89813,20
82,0,-1.2232,-0.80926,1.2232,20
83,0,-1.4468,-0.80926,1.4468,20
84,0,-1.5386,-0.80926,1.5386,20
85,0,-1.3256,-0.80926,1.3256,20
86,0,-0.89456,-0.80926,0.89456,20
87,0,-0.32671,-0.70329,0.32671,20
88,0,0.23676,-0.47265,-0.23676,20
89,0,0.66561,-0.2233,-0.66561,20
90,0,0.94557,0.026041,-0.94557,20
91,0,1.0308,0.27538,-1.0308,20
92,0,0.97847,0.36012,-0.97847,20
93,0,0.75801,-0.16138,-0.75801,20
94,0,0.47861,-0.7261,-0.47861,20
95,0,0.19345,-0.80926,-0.19345,20
96,0,-0.21057,-0.80926,0.21057,20
97,0,-0.6985,-0.80926,0.6985,20
98,0,-1.0833,-0.80926,1.0833,20
99,0,-1.3338,-0.80926,1.3338,20
100,0,-1.4942,-0.80926,1.4942,20
101,0,-1.4092,-0.80926,1.4092,20
102,0,-1.0314,-0.80926,1.0314,20
103,0,-0.4553,-0.80926,0.4553,20
104,0,0.15026,-0.60611,-0.15026,20
105,0,0.69331,-0.074964,-0.69331,20
106,0,1.1064,0.59675,-1.1064,20
107,0,1.2188,0.73861,-1.2188,20
108,0,1.121,0.50251,-1.121,20
109,0,0.91801,0.33188,-0.91801,20
110,0,0.62448,-0.12418,-0.62448,20
111,0,0.31738,-0.53298,-0.31738,20
112,0,-0.054974,-0.66562,0.054974,20
113,0,-0.50411,-0.75267,0.50411,20
114,0,-0.96475,-0.80273,0.96475,20
115,0,-1.3135,-0.80926,1.3135,20
116,0,-1.5307,-0.80926,1.5307,20
117,0,-1.6116,-0.80926,1.6116,20
118,0,-1.3782,-0.80926,1.3782,20
119,0,-0.91595,-0.80926,0.91595,20
