Time,PV,SP,OP,Error,ts
1,-0.47375,-1.0239,0.031058,-0.49595,20
2,-0.43083,-1.0873,-0.21771,-0.64845,20
3,-0.64431,-1.1971,-0.42817,-0.42751,20
4,-0.41691,-1.3363,-0.80517,-0.9867,20
5,-0.33917,-1.5359,-1.1419,-1.3699,20
6,-0.40762,-1.7137,-1.6701,-1.4794,20
7,-0.42967,-1.9272,-2.2078,-1.7121,20
8,-1.6177,-2.0664,-2.3838,0.11406,20
9,-2.1526,-2.2876,-2.1369,0.73579,20
10,-2.1479,-2.3757,-1.9074,0.61652,20
11,-2.3022,-2.4175,-1.6796,0.82381,20
12,-2.2906,-2.4391,-1.4022,0.77687,20
13,-2.5099,-2.3463,-1.0807,1.2637,20
14,-2.5656,-2.1777,-0.69418,1.5707,20
15,-2.1618,-1.9612,-0.26554,1.164,20
16,-1.4959,-1.6766,-0.16028,0.40148,20
17,-1.1768,-1.4291,-0.064612,0.17665,20
18,-1.359,-1.2265,0.14585,0.73973,20
19,-1.1246,-1.0409,0.27789,0.5794,20
20,-0.87171,-0.92956,0.38508,0.29395,20
21,-0.50161,-0.87544,0.47689,-0.26133,20
22,-0.67331,-0.80119,0.39081,0.12189,20
23,-0.63619,-0.80273,0.38695,0.057381,20
24,-0.47608,-0.81201,0.34871,-0.22418,20
25,-0.4784,-0.8878,0.23006,-0.31607,20
26,-0.43199,-0.95432,0.096087,-0.47836,20
27,-0.3937,-1.1012,-0.12011,-0.72863,20
28,-0.76613,-1.3193,-0.40139,-0.37668,20
29,-0.55845,-1.5158,-0.7267,-0.97496,20
30,-0.25332,-1.7493,-1.2242,-1.7844,20
31,-0.28233,-1.938,-1.8117,-1.9741,20
32,-0.37746,-2.0478,-2.5101,-1.9525,20
33,-1.7569,-2.1128,-2.7818,0.29004,20
34,-2.4612,-2.1561,-2.4565,1.4221,20
35,-2.4565,-2.0602,-1.9934,1.5355,20
36,-2.6851,-1.9921,-1.4673,2.0067,20
37,-2.7593,-1.8792,-0.84149,2.2745,20
