time,SP,PV,OP,ts
1,50.08414598,47.7411,58.6746,1
4,50.08414598,47.5946,58.5524,1
5,50.08414598,47.5702,58.5242,1
7,50.08414598,47.5214,58.467,1
8,50.08414598,47.5214,58.467,1
10,50.08414598,47.4969,58.4151,1
12,50.08414598,47.4481,58.3565,1
13,50.08414598,47.4481,58.3565,1
14,50.08414598,47.3993,58.2971,1
16,50.08414598,47.3748,58.2432,1
17,50.08414598,47.3748,58.2432,1
18,50.08414598,47.3504,58.2129,1
20,50.08414598,47.326,58.1581,1
21,50.08414598,47.3016,58.1027,1
22,50.08414598,47.3016,58.1027,1
24,50.08414598,47.2772,58.047,1
25,50.08414598,47.2772,57.997,1
26,50.08414598,47.2772,57.997,1
29,50.08414598,47.2527,57.9659,1
30,50.08414598,47.2283,57.9093,1
31,50.08414598,47.2283,57.8585,1
33,50.08414598,47.2283,57.8585,1
34,50.08414598,47.1795,57.795,1
35,50.08414598,47.2039,57.7497,1
37,50.08414598,47.2039,57.7497,1
38,50.08414598,47.1795,57.6918,1
39,50.08414598,47.1795,57.666,1
41,50.08414598,47.1795,57.666,1
42,50.08414598,47.1551,57.6078,1
43,50.08414598,47.1306,57.5494,1
45,50.08414598,47.1551,57.503,1
46,50.08414598,47.1551,57.503,1
47,50.08414598,47.1551,57.4507,1
50,50.08414598,47.1551,57.4246,1
51,50.08414598,47.1551,57.4246,1
52,50.08414598,47.1551,57.3722,1
54,50.08414598,47.1306,57.3138,1
55,50.08414598,47.1306,57.3138,1
56,50.08414598,47.1551,57.2674,1
58,50.08414598,47.1551,57.215,1
59,50.08414598,47.1795,57.1693,1
60,50.08414598,47.1795,57.1693,1
62,50.08414598,47.2039,57.1497,1
63,50.08414598,47.2283,57.1049,1
64,50.08414598,47.2283,57.1049,1
67,50.08414598,47.2772,57.0667,1
68,50.08414598,47.3016,57.023,1
69,50.08414598,47.326,56.9802,1
71,50.08414598,47.326,56.9802,1
72,50.08414598,47.3748,56.9681,1
73,50.08414598,47.3993,56.9264,1
75,50.08414598,47.3993,56.9264,1
76,50.08414598,47.4481,56.8914,1
77,50.08414598,47.4725,56.8511,1
79,50.08414598,47.4725,56.8511,1
80,50.08414598,47.4969,56.8112,1
81,50.08414598,47.5702,56.7842,1
83,50.08414598,47.5702,56.7619,1
84,50.08414598,47.5702,56.7619,1
85,50.08414598,47.619,56.73,1
88,50.08414598,47.6923,56.7052,1
89,50.08414598,47.6923,56.7052,1
90,50.08414598,47.7411,56.6758,1
92,50.08414598,47.8144,56.6535,1
93,50.08414598,47.8144,56.6535,1
94,50.08414598,47.8388,56.6397,1
96,50.08414598,47.9121,56.6189,1
97,50.08414598,47.9365,56.5869,1
98,50.08414598,47.9365,56.5869,1
100,50.08414598,48.0098,56.5681,1
101,50.08414598,48.1074,56.5567,1
102,50.08414598,48.1074,56.5567,1
105,50.08414598,48.1563,56.5347,1
106,50.08414598,48.2295,56.5364,1
107,50.08414598,48.2784,56.5164,1
109,50.08414598,48.2784,56.5164,1
110,50.08414598,48.3517,56.504,1
111,50.08414598,48.4493,56.4991,1
113,50.08414598,48.4493,56.4991,1
114,50.08414598,48.5226,56.4895,1
115,50.08414598,48.5714,56.4884,1
117,50.08414598,48.5714,56.4884,1
118,50.08414598,48.6447,56.4811,1
119,50.08414598,48.7179,56.4753,1
121,50.08414598,48.8156,56.4771,1
122,50.08414598,48.8156,56.4771,1
123,50.08414598,48.8889,56.4743,1
126,50.08414598,48.9866,56.4795,1
127,50.08414598,48.9866,56.4795,1
128,50.08414598,49.0354,56.4826,1
130,50.08414598,49.1087,56.484,1
131,50.08414598,49.1087,56.484,1
132,50.08414598,49.1819,56.4866,1
133,50.08414598,49.2552,56.4904,1
135,50.08414598,49.3284,56.4959,1
136,50.08414598,49.3284,56.4959,1
137,50.08414598,49.3773,56.5022,1
139,50.08414598,49.475,56.5161,1
140,50.08414598,49.475,56.5161,1
142,50.08414598,49.5727,56.5317,1
144,50.08414598,49.6459,56.5428,1
145,50.08414598,49.6459,56.5428,1
146,50.08414598,49.7192,56.5554,1
148,50.08414598,49.8168,56.5756,1
149,50.08414598,49.8413,56.5801,1
151,50.08414598,49.8413,56.5801,1
152,50.08414598,49.9389,56.6025,1
153,50.08414598,50.0366,56.6267,1
155,50.08414598,50.0366,56.6267,1
156,50.08414598,50.1099,56.6462,1
157,50.08414598,50.2076,56.6736,1
159,50.08414598,50.2564,56.6879,1
160,50.08414598,50.2564,56.6879,1
161,50.08414598,50.3541,56.7179,1
164,50.08414598,50.4518,56.7497,1
165,50.08414598,50.4518,56.7497,1
166,50.08414598,50.525,56.7769,1
168,50.08414598,50.5983,56.8054,1
169,50.08414598,50.5983,56.8054,1
170,50.08414598,50.696,56.8417,1
172,50.08414598,50.7204,56.8543,1
173,50.08414598,50.7937,56.8866,1
174,50.08414598,50.7937,56.8866,1
176,50.08414598,50.9158,56.9327,1
177,50.08414598,50.989,56.9683,1
178,50.08414598,50.989,56.9683,1
180,50.08414598,51.0623,57.0053,1
182,50.08414598,51.1111,57.0275,1
183,50.08414598,51.1111,57.0275,1
185,50.08414598,51.1844,57.067,1
186,50.08414598,51.2821,57.114,1
187,50.08414598,51.3553,57.1566,1
189,50.08414598,51.3553,57.1566,1
190,50.08414598,51.453,57.207,1
191,50.08414598,51.5507,57.2589,1
193,50.08414598,51.5507,57.2589,1
194,50.08414598,51.5751,57.2794,1
195,50.08414598,51.6728,57.3336,1
197,50.08414598,51.7705,57.3893,1
198,50.08414598,51.7705,57.3893,1
199,50.08414598,51.8193,57.4347,1
202,50.08414598,51.917,57.4936,1
203,50.08414598,51.917,57.4936,1
204,50.08414598,51.9414,57.5174,1
206,50.08414598,52.0391,57.5785,1
207,50.08414598,52.0391,57.5785,1
208,50.08414598,52.1123,57.6347,1
210,50.08414598,52.1612,57.6864,1
211,50.08414598,52.2589,57.7515,1
212,50.08414598,52.2589,57.7515,1
214,50.08414598,52.3077,57.8054,1
215,50.08414598,52.3321,57.8327,1
216,50.08414598,52.3321,57.8327,1
219,50.08414598,52.381,57.8879,1
220,50.08414598,52.4298,57.9442,1
221,50.08414598,52.4786,58.0014,1
223,50.08414598,52.4786,58.0014,1
224,50.08414598,52.5763,58.0722,1
225,50.08414598,52.5763,58.0958,1
227,50.08414598,52.5763,58.0958,1
228,50.08414598,52.6252,58.1557,1
229,50.08414598,52.6496,58.21,1
231,50.08414598,52.6496,58.21,1
232,50.08414598,52.6984,58.2715,1
233,50.08414598,52.7717,58.3401,1
235,50.08414598,52.7961,58.3971,1
236,50.08414598,52.7961,58.3971,1
237,50.08414598,52.8205,58.4289,1
240,50.08414598,52.8449,58.4869,1
241,50.08414598,52.8449,58.4869,1
242,50.08414598,52.8938,58.5517,1
244,50.08414598,52.9426,58.6172,1
245,50.08414598,52.9426,58.6172,1
246,50.08414598,52.9426,58.6709,1
248,50.08414598,52.9915,58.7103,1
249,50.08414598,52.9915,58.7652,1
250,50.08414598,52.9915,58.7652,1
252,50.08414598,53.0159,58.8264,1
253,50.08414598,53.0891,58.9006,1
254,50.08414598,53.0891,58.9006,1
257,50.08414598,53.0891,58.957,1
258,50.08414598,53.1136,59.0201,1
259,50.08414598,53.1136,59.0486,1
261,50.08414598,53.1136,59.0486,1
262,50.08414598,53.138,59.1121,1
263,50.08414598,53.138,59.1697,1
265,50.08414598,53.138,59.1697,1
266,50.08414598,53.138,59.227,1
267,50.08414598,53.1136,59.2781,1
269,50.08414598,53.1136,59.2781,1
270,50.08414598,53.1136,59.3066,1
271,50.08414598,53.0891,59.3575,1
273,50.08414598,53.0891,59.4141,1
274,50.08414598,53.0891,59.4141,1
275,50.08414598,53.0891,59.4707,1
278,50.08414598,53.0647,59.5212,1
279,50.08414598,53.0647,59.5212,1
280,50.08414598,53.0647,59.5773,1
282,50.08414598,53.0403,59.5992,1
283,50.08414598,53.0403,59.5992,1
284,50.08414598,53.0159,59.6487,1
286,50.08414598,52.9915,59.6976,1
287,50.08414598,52.967,59.7462,1
288,50.08414598,52.967,59.7462,1
290,50.08414598,52.9426,59.7944,1
291,50.08414598,52.9182,59.8152,1
292,50.08414598,52.9182,59.8152,1
296,50.08414598,52.8694,59.909,1
297,50.08414598,52.8205,59.949,1
299,50.08414598,52.8205,59.949,1
300,50.08414598,52.7717,59.988,1
301,50.08414598,52.7473,60.0324,1
303,50.08414598,52.7473,60.0324,1
304,50.08414598,52.6984,60.0452,1
305,50.08414598,52.6496,60.082,1
307,50.08414598,52.6496,60.082,1
308,50.08414598,52.6252,60.1241,1
309,50.08414598,52.5519,60.1532,1
311,50.08414598,52.4786,60.1808,1
312,50.08414598,52.4786,60.1808,1
314,50.08414598,52.4542,60.1973,1
316,50.08414598,52.381,60.2232,1
317,50.08414598,52.381,60.2232,1
318,50.08414598,52.3077,60.248,1
320,50.08414598,52.2589,60.2777,1
321,50.08414598,52.1856,60.3002,1
322,50.08414598,52.1856,60.3002,1
324,50.08414598,52.1123,60.3212,1
325,50.08414598,52.0391,60.3219,1
326,50.08414598,52.0391,60.3219,1
328,50.08414598,51.9658,60.3404,1
329,50.08414598,51.8926,60.3573,1
331,50.08414598,51.8926,60.3573,1
333,50.08414598,51.7949,60.3667,1
334,50.08414598,51.7216,60.3805,1
335,50.08414598,51.6728,60.3839,1
337,50.08414598,51.6728,60.3839,1
338,50.08414598,51.5751,60.3892,1
339,50.08414598,51.4774,60.3928,1
341,50.08414598,51.4774,60.3928,1
342,50.08414598,51.3797,60.3946,1
343,50.08414598,51.2821,60.3945,1
345,50.08414598,51.1844,60.3925,1
346,50.08414598,51.1844,60.3925,1
347,50.08414598,51.1355,60.3909,1
350,50.08414598,51.0379,60.3862,1
351,50.08414598,51.0379,60.3862,1
352,50.08414598,50.9158,60.3737,1
354,50.08414598,50.8181,60.3652,1
355,50.08414598,50.8181,60.3652,1
356,50.08414598,50.7448,60.3611,1
358,50.08414598,50.696,60.3555,1
359,50.08414598,50.5983,60.3429,1
360,50.08414598,50.5983,60.3429,1
362,50.08414598,50.5006,60.3286,1
363,50.08414598,50.4274,60.3189,1
364,50.08414598,50.4274,60.3189,1
367,50.08414598,50.3297,60.3012,1
368,50.08414598,50.2076,60.2757,1
369,50.08414598,50.1587,60.2651,1
371,50.08414598,50.1587,60.2651,1
372,50.08414598,50.0611,60.2427,1
373,50.08414598,49.9634,60.2185,1
375,50.08414598,49.9634,60.2185,1
376,50.08414598,49.8657,60.1926,1
377,50.08414598,49.7436,60.1586,1
379,50.08414598,49.7436,60.1586,1
380,50.08414598,49.7192,60.15,1
381,50.08414598,49.6215,60.1195,1
383,50.08414598,49.5238,60.0873,1
384,50.08414598,49.5238,60.0873,1
385,50.08414598,49.4506,60.0594,1
388,50.08414598,49.3773,60.0305,1
389,50.08414598,49.3773,60.0305,1
390,50.08414598,49.304,60.0002,1
392,50.08414598,49.2552,59.9814,1
393,50.08414598,49.2552,59.9814,1
394,50.08414598,49.1819,59.9489,1
396,50.08414598,49.1087,59.9148,1
397,50.08414598,49.011,59.8731,1
398,50.08414598,49.011,59.8731,1
400,50.08414598,48.9377,59.8361,1
401,50.08414598,48.8889,59.8139,1
403,50.08414598,48.8889,59.8139,1
406,50.08414598,48.7424,59.7339,1
407,50.08414598,48.6447,59.6853,1
409,50.08414598,48.6447,59.6853,1
410,50.08414598,48.5958,59.6478,1
411,50.08414598,48.547,59.6094,1
413,50.08414598,48.547,59.6094,1
414,50.08414598,48.4982,59.5836,1
415,50.08414598,48.4493,59.5434,1
417,50.08414598,48.4493,59.5434,1
418,50.08414598,48.3761,59.4959,1
419,50.08414598,48.3272,59.4535,1
421,50.08414598,48.2784,59.4101,1
422,50.08414598,48.2784,59.4101,1
424,50.08414598,48.2295,59.3819,1
426,50.08414598,48.1807,59.3368,1
427,50.08414598,48.1807,59.3368,1
428,50.08414598,48.1074,59.2846,1
430,50.08414598,48.0586,59.2375,1
431,50.08414598,48.0342,59.1954,1
432,50.08414598,48.0342,59.1954,1
434,50.08414598,47.9609,59.1403,1
435,50.08414598,47.9365,59.1154,1
436,50.08414598,47.9365,59.1154,1
438,50.08414598,47.8877,59.0649,1
439,50.08414598,47.8144,59.0073,1
440,50.08414598,47.8144,59.0073,1
443,50.08414598,47.79,58.9608,1
