Time,SP,PV,OP,ts
1,3.1,2.49,7.41,1
2,3.1,2.55,7.72,1
3,3.1,2.62,8.08,1
4,3.1,2.68,8.48,1
5,3.1,2.76,8.89,1
6,3.1,2.88,9.71,1
7,3.1,3.02,10.63,1
8,3.1,3.18,11.68,1
9,3.1,3.3,12.53,1
10,3.1,3.44,13.51,1
11,3.1,3.52,14.1,1
12,3.1,3.59,14.65,1
13,3.1,3.67,15.26,1
14,3.1,3.69,15.48,1
15,3.1,3.73,15.84,1
16,3.1,3.7,15.75,1
17,3.1,3.65,15.54,1
18,3.1,3.55,14.92,1
19,3.1,3.4,13.98,1
20,3.1,3.24,12.94,1
21,3.1,3.11,12.05,1
22,3.1,2.98,11.18,1
23,3.1,2.87,10.39,1
24,3.1,2.78,9.74,1
25,3.1,2.7,9.13,1
26,3.1,2.62,8.55,1
27,3.1,2.58,8.22,1
28,3.1,2.52,7.7,1
29,3.1,2.49,7.41,1
30,3.1,2.47,7.17,1
31,3.1,2.49,7.23,1
32,3.1,2.53,7.37,1
33,3.1,2.61,7.84,1
34,3.1,2.71,8.43,1
35,3.1,2.84,9.29,1
36,3.1,2.98,10.18,1
37,3.1,3.12,11.15,1
38,3.1,3.25,12,1
39,3.1,3.4,13.04,1
40,3.1,3.5,13.79,1
41,3.1,3.58,14.42,1
42,3.1,3.66,15.05,1
43,3.1,3.73,15.57,1
44,3.1,3.75,15.84,1
45,3.1,3.75,15.94,1
46,3.1,3.72,15.84,1
47,3.1,3.6,15.13,1
48,3.1,3.49,14.44,1
49,3.1,3.32,13.32,1
50,3.1,3.17,12.32,1
51,3.1,3.01,11.25,1
52,3.1,2.86,10.21,1
53,3.1,2.74,9.36,1
54,3.1,2.65,8.73,1
55,3.1,2.6,8.26,1
56,3.1,2.56,7.92,1
57,3.1,2.56,7.84,1
58,3.1,2.52,7.49,1
59,3.1,2.51,7.32,1
60,3.1,2.53,7.39,1
61,3.1,2.58,7.63,1
62,3.1,2.68,8.26,1
63,3.1,2.78,8.86,1
64,3.1,2.89,9.54,1
65,3.1,3.01,10.37,1
66,3.1,3.16,11.37,1
67,3.1,3.28,12.18,1
68,3.1,3.39,12.96,1
69,3.1,3.52,13.89,1
70,3.1,3.58,14.37,1
71,3.1,3.63,14.75,1
72,3.1,3.68,15.22,1
73,3.1,3.73,15.61,1
74,3.1,3.74,15.81,1
75,3.1,3.72,15.77,1
76,3.1,3.56,14.79,1
77,3.1,3.43,13.94,1
78,3.1,3.26,12.88,1
79,3.1,3.14,12.05,1
80,3.1,3,11.11,1
