Time,SP,PV,OP
18/07/24 0:36,1.579493,1.616809,42.12336
18/07/24 0:36,1.578997,1.613446,41.65844
18/07/24 0:36,1.579062,1.61297,41.16105
18/07/24 0:36,1.578409,1.612172,40.64017
18/07/24 0:36,1.577482,1.604824,40.37912
18/07/24 0:37,1.575983,1.572333,41.14395
18/07/24 0:37,1.575243,1.549172,42.18267
18/07/24 0:37,1.573032,1.542178,42.80637
18/07/24 0:37,1.572466,1.537611,43.53192
18/07/24 0:37,1.571721,1.533509,44.36237
18/07/24 0:38,1.570627,1.540327,44.62688
18/07/24 0:38,1.569685,1.544689,44.86915
18/07/24 0:38,1.568638,1.545298,45.17689
18/07/24 0:38,1.56857,1.549012,45.37814
18/07/24 0:38,1.568996,1.551897,45.56078
18/07/24 0:39,1.568951,1.551384,46.00061
18/07/24 0:39,1.568519,1.554863,46.09517
18/07/24 0:39,1.568256,1.554373,46.33845
18/07/24 0:39,1.567702,1.57572,45.76771
18/07/24 0:40,1.566478,1.591532,44.79309
18/07/24 0:40,1.564728,1.59513,44.13174
18/07/24 0:40,1.564328,1.600349,43.4692
18/07/24 0:40,1.563018,1.601399,42.75962
18/07/24 0:40,1.562281,1.600494,42.19675
18/07/24 0:41,1.560528,1.602781,41.4387
18/07/24 0:41,1.558809,1.600963,40.73597
18/07/24 0:41,1.558131,1.597423,40.28447
18/07/24 0:41,1.555692,1.588501,39.92927
18/07/24 0:41,1.554008,1.569049,40.13797
18/07/24 0:42,1.551709,1.537531,41.17723
18/07/24 0:42,1.549595,1.531262,41.58111
18/07/24 0:42,1.548898,1.524869,42.0944
18/07/24 0:42,1.547812,1.523617,42.52076
18/07/24 0:42,1.547505,1.526316,42.94144
18/07/24 0:43,1.546682,1.530395,43.06245
18/07/24 0:43,1.546308,1.53474,43.13787
18/07/24 0:43,1.545834,1.538606,43.10913
18/07/24 0:43,1.546521,1.543807,43.047
18/07/24 0:44,1.546101,1.54641,42.98195
18/07/24 0:44,1.546738,1.544189,43.08007
18/07/24 0:44,1.546548,1.543476,43.14761
18/07/24 0:44,1.545296,1.541449,43.22812
18/07/24 0:44,1.544017,1.536492,43.45586
18/07/24 0:45,1.54224,1.534496,43.60619
18/07/24 0:45,1.539964,1.535259,43.62327
18/07/24 0:45,1.538156,1.534726,43.62939
18/07/24 0:45,1.535918,1.531775,43.72132
18/07/24 0:45,1.533668,1.526465,43.95491
18/07/24 0:46,1.533285,1.528731,43.97338
18/07/24 0:46,1.533455,1.529838,44.00691
18/07/24 0:46,1.533067,1.528926,44.08291
18/07/24 0:46,1.533118,1.525091,44.38415
18/07/24 0:47,1.532854,1.525122,44.50287
18/07/24 0:47,1.532293,1.526266,44.56022
18/07/24 0:47,1.531232,1.52353,44.71056
18/07/24 0:47,1.530513,1.519982,44.95716
18/07/24 0:47,1.530111,1.521737,45.04711
18/07/24 0:48,1.530308,1.52674,44.99097
18/07/24 0:48,1.529417,1.528104,44.94196
18/07/24 0:48,1.529287,1.527966,44.97327
18/07/24 0:48,1.528853,1.526892,45.03067
18/07/24 0:48,1.528672,1.526585,45.05822
18/07/24 0:49,1.528336,1.527842,45.03269
18/07/24 0:49,1.528404,1.5307,44.91896
18/07/24 0:49,1.527428,1.531334,44.81545
18/07/24 0:49,1.526228,1.531751,44.70535
18/07/24 0:49,1.526042,1.534877,44.46238
18/07/24 0:49,1.524419,1.536578,44.15606
18/07/24 0:50,1.524185,1.535559,43.99472
18/07/24 0:50,1.522754,1.530787,43.93969
18/07/24 0:50,1.521896,1.52705,43.94585
18/07/24 0:50,1.520591,1.52578,43.86936
18/07/24 0:50,1.518985,1.523448,43.80978
18/07/24 0:51,1.51861,1.521005,43.81908
18/07/24 0:51,1.516939,1.516231,43.91822
18/07/24 0:51,1.514822,1.514922,43.90067
18/07/24 0:51,1.514177,1.515405,43.83384
18/07/24 0:52,1.512536,1.511217,43.92193
18/07/24 0:52,1.511523,1.507291,44.0731
18/07/24 0:52,1.511305,1.507181,44.13126
18/07/24 0:52,1.51132,1.508384,44.13987
18/07/24 0:52,1.510878,1.508741,44.14135
18/07/24 0:53,1.512507,1.502297,44.60325
18/07/24 0:53,1.513404,1.501402,44.82607
18/07/24 0:53,1.513977,1.501354,45.0452
18/07/24 0:53,1.514769,1.501119,45.25293
18/07/24 0:53,1.516101,1.499994,45.59814
18/07/24 0:54,1.516801,1.502706,45.93808
18/07/24 0:54,1.516972,1.506422,46.00402
18/07/24 0:54,1.517848,1.522977,45.53403
18/07/24 0:54,1.518165,1.543619,44.57418
18/07/24 0:54,1.519086,1.561654,43.3653
18/07/24 0:55,1.519789,1.570998,42.35559
18/07/24 0:55,1.519782,1.577314,41.31626
18/07/24 0:55,1.519541,1.581551,40.24805
18/07/24 0:55,1.519376,1.567868,39.2185
18/07/24 0:56,1.518538,1.518189,40.34941
18/07/24 0:56,1.518588,1.501045,41.08555
18/07/24 0:56,1.518214,1.490993,41.75747
18/07/24 0:56,1.517666,1.483997,42.45351
18/07/24 0:56,1.518066,1.479928,43.14408
18/07/24 0:57,1.518352,1.478459,43.86165
18/07/24 0:57,1.518705,1.478285,44.4838
18/07/24 0:57,1.518268,1.478915,45.06343
18/07/24 0:57,1.518252,1.48659,45.36959
18/07/24 0:57,1.519119,1.515347,44.73499
18/07/24 0:58,1.519956,1.544586,43.36655
18/07/24 0:58,1.519812,1.549852,42.76846
18/07/24 0:58,1.521419,1.554833,42.09269
18/07/24 0:58,1.521054,1.562378,41.14393
18/07/24 0:58,1.520452,1.567124,40.03965
18/07/24 0:59,1.520167,1.568264,39.26112
18/07/24 0:59,1.519191,1.561228,38.74602
18/07/24 0:59,1.518389,1.531181,39.32901
18/07/24 0:59,1.517902,1.502144,40.34105
18/07/24 0:59,1.51732,1.484896,41.39986
18/07/24 1:00,1.517663,1.481328,42.11293
18/07/24 1:00,1.517546,1.480918,42.67579
18/07/24 1:00,1.517626,1.482283,43.13551
18/07/24 1:00,1.517516,1.485837,43.62598
18/07/24 1:01,1.519138,1.492165,44.3602
18/07/24 1:01,1.52005,1.496208,44.63841
18/07/24 1:01,1.519308,1.509215,44.43921
18/07/24 1:01,1.519228,1.528197,43.8061
18/07/24 1:01,1.520877,1.543317,43.09884
18/07/24 1:02,1.521432,1.553198,42.32139
18/07/24 1:02,1.521824,1.560064,41.51765
18/07/24 1:02,1.522138,1.566353,40.68412
18/07/24 1:02,1.522119,1.571537,39.78459
18/07/24 1:02,1.52108,1.573965,38.88397
18/07/24 1:02,1.52061,1.574911,37.94892
18/07/24 1:03,1.520099,1.553543,37.9403
18/07/24 1:03,1.519122,1.519961,38.81411
18/07/24 1:03,1.518631,1.498314,39.68631
18/07/24 1:03,1.51761,1.486895,40.49137
18/07/24 1:04,1.516296,1.481014,41.73469
18/07/24 1:04,1.516815,1.481888,42.24358
18/07/24 1:04,1.516697,1.484982,42.6419
18/07/24 1:04,1.516798,1.488758,42.97812
18/07/24 1:04,1.516999,1.493333,43.23222
18/07/24 1:05,1.516604,1.50313,43.35781
18/07/24 1:05,1.517045,1.515897,43.06052
18/07/24 1:05,1.516391,1.534918,42.26811
18/07/24 1:05,1.51702,1.550264,41.40141
18/07/24 1:05,1.517257,1.564267,40.25333
18/07/24 1:06,1.51646,1.577241,38.58557
18/07/24 1:06,1.51545,1.583951,37.14927
18/07/24 1:06,1.514837,1.58123,36.16604
18/07/24 1:06,1.51214,1.511889,37.47908
18/07/24 1:07,1.511414,1.484887,38.61678
18/07/24 1:07,1.50954,1.468457,39.73364
18/07/24 1:07,1.508981,1.454931,40.83789
18/07/24 1:07,1.508144,1.440435,42.23512
18/07/24 1:07,1.506939,1.443109,43.16617
18/07/24 1:08,1.506351,1.490974,42.31693
18/07/24 1:08,1.506323,1.508795,41.79592
18/07/24 1:08,1.506052,1.509354,41.71677
18/07/24 1:08,1.503817,1.502836,41.85326
18/07/24 1:08,1.503439,1.491448,42.32179
18/07/24 1:09,1.502486,1.472179,43.44748
18/07/24 1:09,1.502671,1.459078,44.4614
18/07/24 1:09,1.502004,1.460996,45.11644
18/07/24 1:09,1.501376,1.477898,45.01953
18/07/24 1:09,1.499735,1.495535,44.67337
18/07/24 1:10,1.498809,1.49638,44.65542
18/07/24 1:10,1.498514,1.495295,44.72239
18/07/24 1:10,1.496926,1.495068,44.71225
18/07/24 1:10,1.495427,1.497785,44.5667
18/07/24 1:11,1.494237,1.50122,44.34418
18/07/24 1:11,1.493482,1.504476,44.0387
18/07/24 1:11,1.492973,1.506508,43.757
18/07/24 1:11,1.492057,1.509272,43.40221
18/07/24 1:11,1.489468,1.511872,42.92907
18/07/24 1:12,1.489995,1.514571,42.29211
18/07/24 1:12,1.488602,1.516376,41.78501
18/07/24 1:12,1.487759,1.517574,41.27235
18/07/24 1:12,1.487555,1.517757,40.76485
18/07/24 1:12,1.486547,1.516781,40.29192
18/07/24 1:13,1.485812,1.515501,39.819
18/07/24 1:13,1.484582,1.512863,39.42656
18/07/24 1:13,1.484265,1.509009,39.09333
18/07/24 1:13,1.483674,1.503889,38.90307
18/07/24 1:13,1.483018,1.489767,39.11841
18/07/24 1:14,1.482439,1.466169,39.97543
18/07/24 1:14,1.481822,1.448276,41.0014
18/07/24 1:14,1.481738,1.436732,41.97843
18/07/24 1:14,1.481211,1.428818,42.92113
18/07/24 1:14,1.481653,1.422012,44.10234
18/07/24 1:15,1.481939,1.42001,45.54942
18/07/24 1:15,1.482819,1.452063,45.43324
18/07/24 1:15,1.483612,1.474679,44.95615
18/07/24 1:15,1.483917,1.484888,44.67929
18/07/24 1:15,1.48449,1.488628,44.53105
18/07/24 1:16,1.484681,1.489068,44.424
18/07/24 1:16,1.484875,1.485803,44.4965
18/07/24 1:16,1.484531,1.481218,44.66394
18/07/24 1:16,1.483366,1.475005,44.97742
18/07/24 1:17,1.483126,1.471575,45.26734
18/07/24 1:17,1.483339,1.468195,45.59369
18/07/24 1:17,1.481804,1.464948,45.91541
18/07/24 1:17,1.48175,1.461377,46.31312
18/07/24 1:17,1.481893,1.461445,46.63662
18/07/24 1:17,1.482299,1.478485,46.31554
18/07/24 1:18,1.481406,1.497409,45.48178
18/07/24 1:18,1.481546,1.504488,44.93254
18/07/24 1:18,1.481584,1.509451,44.34361
18/07/24 1:18,1.481306,1.514211,43.71414
18/07/24 1:19,1.481351,1.523487,42.52407
18/07/24 1:19,1.480729,1.530261,41.57285
18/07/24 1:19,1.480896,1.537411,40.51823
18/07/24 1:19,1.478587,1.506596,39.83307
18/07/24 1:20,1.477338,1.475916,40.633
18/07/24 1:20,1.475654,1.461856,41.23818
18/07/24 1:20,1.474966,1.461562,41.43387
18/07/24 1:20,1.473705,1.467529,41.42557
18/07/24 1:21,1.472387,1.481144,40.87946
18/07/24 1:21,1.472044,1.489546,40.3689
18/07/24 1:21,1.471586,1.497783,39.74487
18/07/24 1:21,1.471403,1.507398,38.89817
18/07/24 1:22,1.470699,1.515026,37.60513
18/07/24 1:22,1.469787,1.497306,37.61356
18/07/24 1:22,1.469221,1.477029,38.0212
18/07/24 1:22,1.468314,1.466727,38.32232
18/07/24 1:22,1.467004,1.465981,38.32459
18/07/24 1:23,1.466049,1.471573,38.08618
18/07/24 1:23,1.465405,1.479936,37.57911
18/07/24 1:23,1.46385,1.486441,37.02593
18/07/24 1:23,1.463194,1.493092,36.37554
18/07/24 1:23,1.462301,1.485404,36.1781
18/07/24 1:24,1.459966,1.456936,36.8448
18/07/24 1:24,1.458839,1.433676,37.84941
18/07/24 1:24,1.457148,1.416052,38.89675
18/07/24 1:24,1.455755,1.402936,40.01432
18/07/24 1:24,1.453893,1.388662,41.93241
18/07/24 1:25,1.451873,1.390511,43.20356
18/07/24 1:25,1.451421,1.423041,42.7713
18/07/24 1:25,1.450734,1.445375,42.2029
18/07/24 1:25,1.450059,1.45464,41.82185
18/07/24 1:26,1.448402,1.449785,41.86598
18/07/24 1:26,1.446601,1.438242,42.30135
18/07/24 1:26,1.445543,1.433908,42.58008
18/07/24 1:26,1.444623,1.429662,42.92973
18/07/24 1:27,1.44215,1.42955,43.19707
18/07/24 1:27,1.441067,1.431919,43.25709
18/07/24 1:27,1.44047,1.43408,43.28685
18/07/24 1:27,1.439816,1.437032,43.22424
18/07/24 1:27,1.438563,1.437785,43.18487
18/07/24 1:28,1.437324,1.432718,43.36131
18/07/24 1:28,1.437007,1.427355,43.64835
18/07/24 1:28,1.436064,1.423091,43.94832
18/07/24 1:28,1.43627,1.42289,44.13546
18/07/24 1:28,1.436029,1.429896,44.07325
18/07/24 1:29,1.434463,1.440267,43.65599
18/07/24 1:29,1.434197,1.4451,43.34612
18/07/24 1:29,1.433187,1.446953,43.07175
18/07/24 1:29,1.432856,1.446623,42.86813
18/07/24 1:29,1.432331,1.446271,42.65874
18/07/24 1:30,1.42941,1.445467,42.21064
18/07/24 1:30,1.428655,1.445176,41.93695
18/07/24 1:30,1.427143,1.445246,41.60748
18/07/24 1:30,1.426283,1.445519,41.2818
18/07/24 1:30,1.424841,1.446714,40.87019
18/07/24 1:31,1.421865,1.450515,39.95181
18/07/24 1:31,1.421151,1.453644,39.36431
18/07/24 1:31,1.420311,1.457266,38.62119
18/07/24 1:31,1.419474,1.459461,37.86812
18/07/24 1:31,1.418486,1.451304,37.3546
18/07/24 1:32,1.417535,1.421483,38.02153
18/07/24 1:32,1.416377,1.399792,38.82381
18/07/24 1:32,1.415183,1.385663,39.60342
18/07/24 1:32,1.413555,1.374227,40.61627
18/07/24 1:32,1.412163,1.369883,41.45719
18/07/24 1:33,1.411127,1.367627,42.15635
18/07/24 1:33,1.411287,1.366215,42.88575
18/07/24 1:33,1.410928,1.364171,43.63795
18/07/24 1:33,1.411287,1.390964,43.57484
18/07/24 1:34,1.411106,1.41914,42.71096
18/07/24 1:34,1.411572,1.434769,41.87775
18/07/24 1:34,1.411503,1.441064,41.25818
18/07/24 1:34,1.409832,1.443558,40.60359
18/07/24 1:34,1.40872,1.442307,39.99849
18/07/24 1:35,1.408285,1.439659,39.5255
18/07/24 1:35,1.40722,1.436758,39.17154
18/07/24 1:35,1.406849,1.435052,38.76534
18/07/24 1:35,1.405677,1.43286,38.38908
18/07/24 1:35,1.404532,1.42964,38.06931
18/07/24 1:35,1.403975,1.42373,37.83453
18/07/24 1:36,1.403131,1.40967,38.04635
18/07/24 1:36,1.40197,1.389363,38.74876
18/07/24 1:36,1.400751,1.377234,39.44921
18/07/24 1:36,1.400283,1.373176,39.99474
18/07/24 1:37,1.399941,1.375111,40.62067
18/07/24 1:37,1.400672,1.37721,40.92935
18/07/24 1:37,1.400182,1.379877,41.16302
18/07/24 1:37,1.400234,1.383683,41.37398
18/07/24 1:37,1.400775,1.386167,41.59956
18/07/24 1:38,1.400966,1.390616,41.67478
18/07/24 1:38,1.401233,1.39829,41.52862
18/07/24 1:38,1.401631,1.405234,41.30617
18/07/24 1:38,1.402852,1.408858,41.12664
18/07/24 1:38,1.403324,1.406478,41.15046
