time,SP,PV,OP,ts
1,110,107.5,13.85,1
2,110,107.38,13.95,1
3,110,107.5,14.04,1
4,110,107.88,14.11,1
5,110,107.63,14.2,1
6,110,108.88,14.22,1
7,110,110.75,14.17,1
8,110,112.13,14.07,1
9,110,113.13,13.94,1
10,110,113.75,13.79,1
11,110,114.13,13.64,1
12,110,114.25,13.48,1
13,110,114.38,13.32,1
14,110,114,13.18,1
15,110,114.38,13.01,1
16,110,114.13,12.87,1
17,110,114,12.72,1
18,110,114.5,12.55,1
19,110,114.38,12.39,1
20,110,114,12.25,1
21,110,112.75,12.17,1
22,110,112.25,12.1,1
23,110,111.88,12.03,1
24,110,111.25,12,1
25,110,110,12.02,1
26,110,108.75,12.08,1
27,110,108.25,12.15,1
28,110,107.75,12.24,1
29,110,107.88,12.32,1
30,110,107.88,12.4,1
31,110,107.88,12.47,1
32,110,107.5,12.57,1
33,110,107.5,12.66,1
34,110,107.88,12.73,1
35,110,108.25,12.79,1
36,110,108.75,12.83,1
37,110,109.63,12.83,1
38,110,109.88,12.83,1
39,110,110.38,12.81,1
40,110,110.25,12.8,1
41,110,110.13,12.8,1
42,110,110,12.8,1
43,110,110.25,12.79,1
44,110,110.13,12.79,1
45,110,110.38,12.77,1
46,110,110.5,12.75,1
47,110,110.25,12.74,1
48,110,110.25,12.73,1
49,110,110.13,12.73,1
50,110,109.88,12.74,1
51,110,109.5,12.76,1
52,110,109.38,12.79,1
53,110,109,12.83,1
54,110,108.5,12.89,1
55,110,108.38,12.95,1
56,110,107.88,13.04,1
57,110,107.88,13.12,1
58,110,107.5,13.21,1
59,110,107.13,13.32,1
60,110,106.88,13.44,1
61,110,107.13,13.54,1
62,110,107.25,13.64,1
63,110,107.5,13.73,1
64,110,107.88,13.8,1
65,110,108.88,13.83,1
66,110,109,13.86,1
67,110,109.5,13.87,1
68,110,110.5,13.84,1
69,110,110.75,13.81,1
70,110,110.88,13.77,1
71,110,111,13.73,1
72,110,110.63,13.72,1
73,110,110.25,13.71,1
74,110,110.25,13.7,1
75,110,110.63,13.68,1
76,110,110.38,13.67,1
77,110,110.38,13.65,1
78,110,109.75,13.67,1
79,110,109.38,13.7,1
80,110,109,13.74,1
81,110,108.25,13.82,1
82,110,107.88,13.9,1
83,110,107.88,13.98,1
84,110,107.63,14.07,1
85,110,107.88,14.14,1
86,110,107.5,14.24,1
87,110,107.63,14.32,1
88,110,108.75,14.35,1
89,110,109.38,14.36,1
90,110,109.88,14.36,1
91,110,110.63,14.33,1
92,110,110.75,14.3,1
93,110,111.5,14.23,1
94,110,112.38,14.13,1
95,110,112.88,14.02,1
96,110,113.5,13.88,1
97,110,113.13,13.77,1
98,110,113.63,13.63,1
99,110,113.63,13.5,1
100,110,113.25,13.39,1
101,110,113.13,13.28,1
102,110,112.75,13.18,1
103,110,113.13,13.06,1
104,110,113.13,12.95,1
105,110,113.5,12.82,1
106,110,113.63,12.68,1
107,110,113.38,12.56,1
108,110,113.38,12.44,1
109,110,113.5,12.31,1
110,110,112.88,12.22,1
111,110,112,12.16,1
112,110,111.25,12.12,1
113,110,111,12.09,1
114,110,110.5,12.08,1
115,110,109.5,12.11,1
116,110,108.5,12.18,1
117,110,107.88,12.27,1
118,110,107.88,12.35,1
119,110,107.63,12.44,1
120,110,107.5,12.53,1
121,110,107.38,12.63,1
122,110,107.88,12.7,1
123,110,108.63,12.74,1
124,110,109.25,12.75,1
125,110,109.38,12.77,1
126,110,109.5,12.79,1
127,110,109.63,12.8,1
128,110,109.88,12.8,1
129,110,109.5,12.83,1
130,110,110.13,12.81,1
131,110,110.75,12.78,1
132,110,110.25,12.77,1
133,110,110.63,12.75,1
134,110,110.5,12.73,1
135,110,110.5,12.71,1
136,110,110.25,12.71,1
137,110,109.25,12.75,1
138,110,108.63,12.81,1
139,110,108.38,12.87,1
140,110,107.88,12.96,1
141,110,107.63,13.05,1
142,110,107.63,13.13,1
143,110,107.13,13.25,1
144,110,107.5,13.33,1
145,110,107.25,13.44,1
146,110,107,13.55,1
147,110,107.38,13.64,1
148,110,107.5,13.73,1
149,110,107.5,13.82,1
150,110,107.5,13.91,1
151,110,108.38,13.96,1
152,110,108.75,14,1
153,110,109.13,14.02,1
154,110,109.75,14.02,1
155,110,109.63,14.04,1
156,110,110,14.03,1
157,110,110.88,13.99,1
158,110,111.88,13.9,1
159,110,112.63,13.8,1
160,110,113.13,13.67,1
161,110,113.25,13.55,1
162,110,113.5,13.42,1
163,110,113.38,13.3,1
164,110,113.25,13.18,1
165,110,113.38,13.06,1
166,110,113.25,12.94,1
167,110,113.13,12.83,1
168,110,112.38,12.76,1
169,110,111.88,12.7,1
170,110,111.5,12.65,1
171,110,111.38,12.6,1
172,110,111.25,12.55,1
173,110,110.75,12.53,1
174,110,110.63,12.51,1
175,110,110.63,12.49,1
176,110,110.63,12.47,1
177,110,110.25,12.47,1
178,110,110.38,12.45,1
179,110,110.25,12.44,1
180,110,110.25,12.43,1
181,110,110.25,12.42,1
182,110,110.25,12.42,1
183,110,109.63,12.44,1
184,110,109.38,12.46,1
185,110,109.5,12.48,1
186,110,109.88,12.48,1
187,110,109.88,12.48,1
188,110,109.88,12.49,1
189,110,110.13,12.48,1
190,110,110.25,12.47,1
191,110,110.38,12.45,1
192,110,110.5,12.43,1
193,110,110.63,12.41,1
194,110,110.13,12.41,1
195,110,109.38,12.45,1
196,110,108.38,12.52,1
197,110,108.38,12.58,1
198,110,107.63,12.68,1
199,110,107.25,12.78,1
200,110,107,12.9,1
201,110,106.63,13.03,1
202,110,106.75,13.14,1
203,110,107,13.25,1
204,110,107.13,13.35,1
205,110,107.13,13.46,1
206,110,106.63,13.59,1
207,110,106.63,13.71,1
208,110,107.13,13.81,1
209,110,107.63,13.89,1
210,110,107.88,13.96,1
211,110,108.63,14,1
212,110,109.13,14.02,1
213,110,109.5,14.03,1
214,110,109.38,14.06,1
215,110,109.88,14.06,1
216,110,110.38,14.03,1
217,110,111.25,13.98,1
218,110,112,13.89,1
219,110,112.25,13.81,1
220,110,112.38,13.72,1
221,110,112.63,13.62,1
222,110,112.88,13.51,1
223,110,112.63,13.42,1
224,110,112.63,13.32,1
225,110,111.63,13.28,1
226,110,111,13.25,1
227,110,111.13,13.21,1
228,110,110.75,13.19,1
229,110,110.75,13.16,1
230,110,110,13.17,1
231,110,110.25,13.16,1
232,110,110,13.16,1
233,110,110.13,13.15,1
234,110,110.38,13.14,1
235,110,110.25,13.13,1
236,110,110.25,13.12,1
237,110,110.38,13.11,1
238,110,109.88,13.12,1
239,110,110.25,13.1,1
240,110,110.63,13.07,1
241,110,111.13,13.03,1
242,110,111.75,12.95,1
243,110,112.25,12.86,1
244,110,112.38,12.77,1
245,110,112.38,12.69,1
246,110,112.38,12.6,1
247,110,112.63,12.5,1
248,110,112.5,12.41,1
249,110,112.5,12.32,1
250,110,112.38,12.24,1
251,110,111.5,12.2,1
252,110,111.38,12.15,1
253,110,110.88,12.12,1
254,110,109.88,12.14,1
255,110,109.13,12.19,1
256,110,107.88,12.28,1
257,110,107.5,12.38,1
258,110,106.63,12.52,1
259,110,106.5,12.65,1
260,110,106.38,12.78,1
261,110,106.25,12.92,1
262,110,106.38,13.05,1
263,110,106,13.2,1
264,110,105.88,13.35,1
265,110,105.88,13.5,1
266,110,106.38,13.63,1
267,110,107.25,13.71,1
268,110,107.75,13.79,1
269,110,108.13,13.85,1
270,110,108.63,13.89,1
271,110,109.25,13.91,1
272,110,109.13,13.94,1
273,110,109.38,13.96,1
274,110,109.5,13.98,1
275,110,109.63,13.99,1
276,110,109.88,13.99,1
277,110,109.88,14,1
278,110,109.63,14.01,1
279,110,109.13,14.05,1
280,110,109.13,14.09,1
281,110,109.13,14.12,1
282,110,109.25,14.14,1
283,110,109.38,14.16,1
284,110,109.38,14.19,1
285,110,109.25,14.22,1
286,110,109.38,14.24,1
287,110,109.13,14.27,1
288,110,109.25,14.3,1
289,110,109.38,14.32,1
290,110,109.5,14.33,1
291,110,110.13,14.32,1
292,110,110.13,14.32,1
293,110,110.38,14.3,1
294,110,110.5,14.28,1
295,110,110.5,14.26,1
296,110,110.25,14.26,1
297,110,110.63,14.23,1
298,110,111,14.18,1
299,110,111.5,14.12,1
300,110,111.5,14.07,1
301,110,111.88,13.99,1
302,110,112.13,13.91,1
303,110,112.25,13.83,1
304,110,112.13,13.75,1
305,110,112.13,13.68,1
306,110,112.38,13.59,1
307,110,112.25,13.5,1
308,110,112.38,13.42,1
309,110,112.63,13.32,1
310,110,112.25,13.24,1
311,110,111.88,13.18,1
312,110,111.13,13.15,1
313,110,110.75,13.13,1
314,110,110.5,13.11,1
315,110,110,13.12,1
316,110,109.75,13.13,1
317,110,109.88,13.14,1
318,110,109.88,13.14,1
319,110,109.38,13.17,1
320,110,109.25,13.2,1
321,110,109.38,13.22,1
322,110,109.38,13.24,1
323,110,109.38,13.27,1
324,110,109.88,13.26,1
325,110,110.63,13.23,1
326,110,111,13.19,1
327,110,111.25,13.14,1
328,110,111.75,13.07,1
329,110,111.5,13.02,1
330,110,111.75,12.95,1
331,110,111.88,12.88,1
332,110,112.63,12.77,1
333,110,112.38,12.69,1
334,110,112.63,12.59,1
335,110,112.63,12.49,1
336,110,112.75,12.39,1
337,110,112.75,12.29,1
338,110,113.13,12.17,1
339,110,112.63,12.08,1
340,110,112.5,11.99,1
341,110,111.25,11.97,1
