Time,SP,PV,OP,error,ts
1,-0.99994,-1.0933,-1.1707,1.0933,20
2,-0.99994,-1.1674,-1.2445,1.1674,20
3,-0.99994,-1.5786,-1.5031,1.5786,20
4,-0.99994,-1.3285,-1.3923,1.3285,20
5,-0.99994,-1.2925,-1.3554,1.2925,20
6,-0.99994,-1.1823,-1.3184,1.1823,20
7,-0.99994,-1.2777,-1.3923,1.2777,20
8,-0.99994,-1.3434,-1.4662,1.3434,20
9,-0.99994,-1.3073,-1.4293,1.3073,20
10,-0.99994,-1.0042,-1.2445,1.0042,20
11,-0.99994,-1.1229,-1.3554,1.1229,20
12,-0.99994,-1.284,-1.4662,1.284,20
13,-0.99994,-1.1293,-1.3923,1.1293,20
14,-0.99994,-1.2543,-1.4662,1.2543,20
15,-0.99994,-1.2925,-1.5401,1.2925,20
16,-0.99994,-0.77744,-1.2076,0.77744,20
17,-0.99994,-0.59939,-1.0968,0.59939,20
18,-0.99994,-1.0487,-1.4293,1.0487,20
19,-0.99994,-0.75412,-1.2445,0.75412,20
20,-0.99994,-1.1378,-1.4662,1.1378,20
21,-0.99994,-0.77744,-1.2815,0.77744,20
22,-0.99994,-1.1017,-1.5031,1.1017,20
23,-0.99994,-1.0487,-1.4662,1.0487,20
24,-0.99994,-0.93853,-1.4293,0.93853,20
25,-0.99994,-1.1145,-1.5401,1.1145,20
26,-0.99994,-1.2332,-1.6509,1.2332,20
27,-0.99994,-1.0042,-1.5031,1.0042,20
28,-0.99994,-1.0572,-1.5401,1.0572,20
29,-0.99994,-0.89402,-1.4662,0.89402,20
30,-0.99994,-1.0869,-1.577,1.0869,20
31,-0.99994,-0.96184,-1.5401,0.96184,20
32,-0.99994,-0.70325,-1.3923,0.70325,20
33,-0.99994,-0.79228,-1.4293,0.79228,20
34,-0.99994,-0.54852,-1.2815,0.54852,20
35,-0.99994,-0.73293,-1.4293,0.73293,20
36,-0.99994,-0.71809,-1.4293,0.71809,20
37,-0.99994,-0.93217,-1.577,0.93217,20
38,-0.99994,-0.5782,-1.3554,0.5782,20
39,-0.99994,-0.6439,-1.4293,0.6439,20
40,-0.99994,-0.88766,-1.577,0.88766,20
41,-0.99994,-0.76896,-1.5031,0.76896,20
42,-0.99994,-0.73929,-1.5401,0.73929,20
43,-0.99994,-0.59939,-1.4293,0.59939,20
44,-0.99994,-0.65874,-1.4662,0.65874,20
45,-0.99994,-0.45314,-1.3554,0.45314,20
46,-0.99994,-0.37259,-1.2815,0.37259,20
47,-0.99994,-0.62271,-1.4662,0.62271,20
48,-0.99994,-0.38743,-1.3554,0.38743,20
49,-0.99994,-0.56336,-1.4662,0.56336,20
50,-0.99994,-0.49765,-1.3923,0.49765,20
51,-0.99994,-0.65874,-1.5031,0.65874,20
52,-0.99994,-0.4383,-1.3923,0.4383,20
53,-0.99994,-0.69689,-1.577,0.69689,20
54,-0.99994,-0.37259,-1.3554,0.37259,20
55,-0.99994,-0.35776,-1.3554,0.35776,20
56,-0.99994,-0.31325,-1.3184,0.31325,20
57,-0.99994,-0.37259,-1.3554,0.37259,20
58,-0.99994,-0.28357,-1.3184,0.28357,20
59,-0.99994,-0.39379,-1.4293,0.39379,20
60,-0.99994,-0.31325,-1.3554,0.31325,20
61,-0.99994,-0.36412,-1.3923,0.36412,20
62,-0.99994,-0.31325,-1.3554,0.31325,20
63,-0.99994,-0.12884,-1.2445,0.12884,20
64,-0.99994,-0.36412,-1.3923,0.36412,20
65,-0.99994,-0.39379,-1.4293,0.39379,20
66,-0.99994,-0.114,-1.2445,0.114,20
67,-0.99994,-0.16699,-1.2815,0.16699,20
68,-0.99994,-0.048296,-1.2076,0.048296,20
69,-0.99994,-0.18819,-1.3184,0.18819,20
70,-0.99994,-0.38743,-1.4662,0.38743,20
71,-0.99994,-0.33444,-1.4293,0.33444,20
72,-0.99994,-0.054655,-1.2445,0.054655,20
73,-0.99994,-0.13732,-1.2815,0.13732,20
74,-0.99994,-0.23906,-1.3554,0.23906,20
75,-0.99994,0.061923,-1.1707,-0.061923,20
76,-0.99994,-0.12248,-1.2815,0.12248,20
77,-0.99994,-0.17335,-1.3184,0.17335,20
78,-0.99994,-0.16699,-1.3184,0.16699,20
79,-0.99994,0.20182,-1.0968,-0.20182,20
80,-0.99994,0.23785,-1.0598,-0.23785,20
81,-0.99994,0.097956,-1.1338,-0.097956,20
