time,SP,PV,OP,ts
2,37.01401308,35.844,25.764,1
4,37.01401308,35.688,25.662,1
6,37.01401308,35.5,25.547,1
8,37.01401308,35.375,25.459,1
10,37.01401308,35.656,25.581,1
12,37.01401308,35.125,25.288,1
14,37.01401308,35.688,25.544,1
16,37.01401308,35.625,25.491,1
18,37.01401308,35,25.146,1
20,37.01401308,35.156,25.192,1
22,37.01401308,35.375,25.273,1
24,37.01401308,35.469,25.296,1
26,37.01401308,35.438,25.253,1
28,37.01401308,35.063,25.035,1
30,37.01401308,35.75,25.351,1
32,37.01401308,35.406,25.154,1
34,37.01401308,35.75,25.299,1
36,37.01401308,36.031,25.422,1
38,37.01401308,35.969,25.371,1
40,37.01401308,35.906,25.321,1
42,37.01401308,35.969,25.335,1
44,37.01401308,36.469,25.574,1
46,37.01401308,36.656,25.658,1
48,37.01401308,36.938,25.796,1
50,37.01401308,36.969,25.813,1
52,37.01401308,37.5,26.082,1
54,37.01401308,37.75,26.216,1
56,37.01401308,37.719,26.212,1
58,37.01401308,37.75,26.24,1
60,37.01401308,38.531,26.651,1
62,37.01401308,37.875,26.339,1
64,37.01401308,38.469,26.662,1
66,37.01401308,38.875,26.894,1
68,37.01401308,39,26.985,1
70,37.01401308,38.781,26.906,1
72,37.01401308,39.625,27.364,1
74,37.01401308,39.188,27.184,1
76,37.01401308,39.156,27.2,1
78,37.01401308,38.938,27.128,1
80,37.01401308,39.688,27.544,1
82,37.01401308,38.531,26.996,1
84,37.01401308,38.875,27.198,1
86,37.01401308,38.719,27.147,1
88,37.01401308,38.625,27.124,1
90,37.01401308,38.406,27.04,1
92,37.01401308,37.781,26.745,1
94,37.01401308,37.75,26.741,1
96,37.01401308,37.688,26.72,1
98,37.01401308,37.5,26.639,1
100,37.01401308,37.125,26.455,1
102,37.01401308,37.375,26.583,1
104,37.01401308,36.906,26.349,1
106,37.01401308,36.938,26.362,1
108,37.01401308,37.156,26.469,1
110,37.01401308,36.406,26.087,1
112,37.01401308,36.531,26.141,1
114,37.01401308,36.531,26.137,1
116,37.01401308,36.406,26.065,1
118,37.01401308,36.25,25.975,1
120,37.01401308,36.531,26.106,1
122,37.01401308,36,25.824,1
124,37.01401308,35.656,25.633,1
126,37.01401308,35.938,25.753,1
128,37.01401308,35.531,25.525,1
130,37.01401308,35.125,25.296,1
132,37.01401308,35.188,25.297,1
134,37.01401308,35,25.169,1
136,37.01401308,35.188,25.232,1
138,37.01401308,34.5,24.852,1
140,37.01401308,34.625,24.876,1
142,37.01401308,34.875,24.964,1
144,37.01401308,35.281,25.139,1
146,37.01401308,34.875,24.899,1
148,37.01401308,35.344,25.102,1
150,37.01401308,35.375,25.081,1
152,37.01401308,35.781,25.258,1
154,37.01401308,36.375,25.539,1
156,37.01401308,35.969,25.321,1
158,37.01401308,36.156,25.405,1
160,37.01401308,36.438,25.542,1
162,37.01401308,37.438,26.045,1
164,37.01401308,37.219,25.945,1
166,37.01401308,38.156,26.424,1
168,37.01401308,38.688,26.712,1
170,37.01401308,39.5,27.157,1
172,37.01401308,39.219,27.055,1
174,37.01401308,39.75,27.368,1
176,37.01401308,40.656,27.881,1
178,37.01401308,40.938,28.083,1
180,37.01401308,41.031,28.194,1
182,37.01401308,41.531,28.521,1
184,37.01401308,41.281,28.47,1
186,37.01401308,41.75,28.784,1
188,37.01401308,41.5,28.731,1
190,37.01401308,41.438,28.772,1
192,37.01401308,40.125,28.174,1
194,37.01401308,40.656,28.503,1
196,37.01401308,40.219,28.339,1
198,37.01401308,39.781,28.17,1
200,37.01401308,39.688,28.17,1
202,37.01401308,39.656,28.197,1
204,37.01401308,39.688,28.26,1
206,37.01401308,39,27.951,1
208,37.01401308,39,27.983,1
210,37.01401308,38.063,27.538,1
212,37.01401308,38.625,27.846,1
214,37.01401308,38.188,27.653,1
216,37.01401308,38.219,27.688,1
218,37.01401308,38.375,27.788,1
220,37.01401308,38.125,27.681,1
222,37.01401308,37.969,27.619,1
224,37.01401308,37.781,27.538,1
226,37.01401308,37.625,27.473,1
228,37.01401308,37.406,27.373,1
230,37.01401308,37.406,27.377,1
232,37.01401308,36.969,27.162,1
234,37.01401308,36.719,27.033,1
236,37.01401308,36.844,27.094,1
238,37.01401308,36.75,27.047,1
240,37.01401308,36.531,26.932,1
242,37.01401308,36.219,26.769,1
244,37.01401308,36.313,26.803,1
246,37.01401308,36.219,26.743,1
248,37.01401308,36.438,26.84,1
250,37.01401308,36.125,26.669,1
252,37.01401308,35.938,26.556,1
254,37.01401308,35.531,26.331,1
256,37.01401308,35.906,26.5,1
