Time,SP,PV,OP,ts
18/07/24 0:26,3.8,3.9105,46.0466,12
18/07/24 0:26,3.8,3.9107,45.7723,12
18/07/24 0:26,3.8,3.9088,45.5156,12
18/07/24 0:26,3.8,3.832,45.8592,12
18/07/24 0:27,3.8,3.7827,46.1839,12
18/07/24 0:27,3.8,3.7629,46.4055,12
18/07/24 0:27,3.8,3.7531,46.5958,12
18/07/24 0:27,3.8,3.7505,46.729,12
18/07/24 0:27,3.8,3.7489,46.8602,12
18/07/24 0:28,3.8,3.749,46.9942,12
18/07/24 0:28,3.8,3.7482,47.1791,12
18/07/24 0:28,3.8,3.7511,47.282,12
18/07/24 0:28,3.8,3.7533,47.3865,12
18/07/24 0:28,3.8,3.7547,47.4907,12
18/07/24 0:29,3.8,3.7554,47.6057,12
18/07/24 0:29,3.8,3.7555,47.7902,12
18/07/24 0:29,3.8,3.8371,47.2552,12
18/07/24 0:29,3.8,3.8924,46.7133,12
18/07/24 0:29,3.8,3.914,46.3343,12
18/07/24 0:30,3.8,3.9271,45.9508,12
18/07/24 0:30,3.8,3.8884,45.7514,12
18/07/24 0:30,3.8,3.8169,46.1274,12
18/07/24 0:30,3.8,3.7795,46.3877,12
18/07/24 0:30,3.8,3.7617,46.5855,12
18/07/24 0:31,3.8,3.7531,46.7486,12
18/07/24 0:31,3.8,3.7485,46.8967,12
18/07/24 0:31,3.8,3.7502,47.0547,12
18/07/24 0:31,3.8,3.7497,47.1816,12
18/07/24 0:31,3.8,3.7497,47.3165,12
18/07/24 0:32,3.8,3.7518,47.422,12
18/07/24 0:32,3.8,3.752,47.5599,12
18/07/24 0:32,3.8,3.7519,47.6853,12
18/07/24 0:32,3.8,3.7555,47.7621,12
18/07/24 0:32,3.8,3.8218,47.3681,12
18/07/24 0:33,3.8,3.8915,46.7338,12
18/07/24 0:33,3.8,3.921,46.1962,12
18/07/24 0:33,3.8,3.9291,45.8074,12
18/07/24 0:33,3.8,3.9158,45.5862,12
18/07/24 0:33,3.8,3.8368,45.9576,12
18/07/24 0:34,3.8,3.7912,46.234,12
18/07/24 0:34,3.8,3.772,46.4322,12
18/07/24 0:34,3.8,3.7655,46.555,12
18/07/24 0:34,3.8,3.7611,46.6772,12
18/07/24 0:34,3.8,3.7323,46.9908,12
18/07/24 0:35,3.8,3.7456,47.1032,12
18/07/24 0:35,3.8,3.8147,46.6869,12
18/07/24 0:35,3.8,3.8324,46.5051,12
18/07/24 0:35,3.8,3.8417,46.3576,12
18/07/24 0:35,3.8,3.8412,46.2606,12
18/07/24 0:36,3.8,3.8484,46.094,12
18/07/24 0:36,3.8,3.8426,45.9689,12
18/07/24 0:36,3.8,3.8464,45.8364,12
18/07/24 0:36,3.8,3.8435,45.7554,12
18/07/24 0:36,3.8,3.8471,45.6212,12
18/07/24 0:37,3.8,3.8422,45.5337,12
18/07/24 0:37,3.8,3.8451,45.3906,12
18/07/24 0:37,3.8,3.8381,45.3431,12
18/07/24 0:37,3.8,3.8366,45.2645,12
18/07/24 0:37,3.8,3.8306,45.2251,12
18/07/24 0:37,3.8,3.7885,45.4589,12
18/07/24 0:38,3.8,3.711,46.1869,12
18/07/24 0:38,3.8,3.6895,46.5804,12
18/07/24 0:38,3.8,3.6843,46.891,12
18/07/24 0:38,3.8,3.6784,47.1955,12
18/07/24 0:38,3.8,3.7299,47.1038,12
18/07/24 0:39,3.8,3.7868,46.8162,12
18/07/24 0:39,3.8,3.8136,46.6305,12
18/07/24 0:39,3.8,3.8231,46.5173,12
18/07/24 0:39,3.8,3.8253,46.4368,12
18/07/24 0:39,3.8,3.8279,46.3604,12
18/07/24 0:40,3.8,3.8283,46.2906,12
18/07/24 0:40,3.8,3.8253,46.2271,12
18/07/24 0:40,3.8,3.826,46.1583,12
18/07/24 0:40,3.8,3.8239,46.1191,12
