Send Time,Received Time,Detection Time,ID,PV,OP,Prob No,Prob Yes,Prediksi,Aktual
2021-10-13 00:54:30.165619,2021-10-13 00:54:30.174620,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.948209,36.45094,-,-,-,1
2021-10-13 00:54:30.683691,2021-10-13 00:54:30.686692,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.948998,35.99324,-,-,-,1
2021-10-13 00:54:31.206646,2021-10-13 00:54:31.224650,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.948768,35.57505,-,-,-,1
2021-10-13 00:54:31.714395,2021-10-13 00:54:31.719379,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.947795,35.14362,-,-,-,1
2021-10-13 00:54:32.219633,2021-10-13 00:54:32.223635,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.947819,34.5917,-,-,-,1
2021-10-13 00:54:32.726890,2021-10-13 00:54:32.732891,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.948415,33.94805,-,-,-,1
2021-10-13 00:54:33.248072,2021-10-13 00:54:33.250073,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.94846,33.51391,-,-,-,1
2021-10-13 00:54:33.755960,2021-10-13 00:54:33.759961,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.948277,33.12376,-,-,-,1
2021-10-13 00:54:34.259186,2021-10-13 00:54:34.264187,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.940627,32.97018,-,-,-,1
2021-10-13 00:54:34.767301,2021-10-13 00:54:34.787330,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.907836,34.00383,-,-,-,1
2021-10-13 00:54:35.274521,2021-10-13 00:54:35.290542,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.886353,35.13129,-,-,-,1
2021-10-13 00:54:35.781858,2021-10-13 00:54:35.784858,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.875231,36.13137,-,-,-,1
2021-10-13 00:54:36.285310,2021-10-13 00:54:36.292293,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.867202,37.15376,-,-,-,1
2021-10-13 00:54:36.790285,2021-10-13 00:54:36.792287,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.861583,38.25824,-,-,-,1
2021-10-13 00:54:37.292923,2021-10-13 00:54:37.296912,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.861185,39.22747,-,-,-,1
2021-10-13 00:54:37.800105,2021-10-13 00:54:37.802106,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.871175,39.80473,-,-,-,1
2021-10-13 00:54:38.322180,2021-10-13 00:54:38.325184,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.902054,39.32504,-,-,-,1
2021-10-13 00:54:38.843914,2021-10-13 00:54:38.848923,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.924148,38.72332,-,-,-,1
2021-10-13 00:54:39.362118,2021-10-13 00:54:39.366118,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.940216,38.03896,-,-,-,1
2021-10-13 00:54:39.869920,2021-10-13 00:54:39.872921,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.952149,37.06465,-,-,-,1
2021-10-13 00:54:40.377605,2021-10-13 00:54:40.381606,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.953701,36.50995,-,-,-,1
2021-10-13 00:54:40.884102,2021-10-13 00:54:40.889100,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.958561,35.75462,-,-,-,1
2021-10-13 00:56:25.541930,2021-10-13 00:56:25.549918,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.869323,38.48518,-,-,-,1
2021-10-13 00:56:26.048084,2021-10-13 00:56:26.050084,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.869656,39.09941,-,-,-,1
2021-10-13 00:56:26.553119,2021-10-13 00:56:26.565104,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.884219,39.15863,-,-,-,1
2021-10-13 00:56:27.071817,2021-10-13 00:56:27.076819,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.923242,37.95727,-,-,-,1
2021-10-13 00:56:27.576488,2021-10-13 00:56:27.582482,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.935086,37.27325,-,-,-,1
2021-10-13 00:56:28.093076,2021-10-13 00:56:28.096063,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.942835,36.63847,-,-,-,1
2021-10-13 00:56:28.595112,2021-10-13 00:56:28.597113,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.948713,35.98645,-,-,-,1
2021-10-13 00:56:29.119408,2021-10-13 00:56:29.122411,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.950656,35.20907,-,-,-,1
2021-10-13 00:56:29.624887,2021-10-13 00:56:29.632882,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.94918,34.73234,-,-,-,1
2021-10-13 00:56:30.161710,2021-10-13 00:56:30.164695,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.947202,34.269,-,-,-,1
2021-10-13 00:56:30.668082,2021-10-13 00:56:30.671084,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.945723,33.6558,-,-,-,1
2021-10-13 00:56:31.191761,2021-10-13 00:56:31.195771,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.94527,33.22431,-,-,-,1
2021-10-13 00:56:31.696058,2021-10-13 00:56:31.704069,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.942314,32.88435,-,-,-,1
2021-10-13 00:56:32.200778,2021-10-13 00:56:32.210478,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.92492,33.1664,-,-,-,1
2021-10-13 00:56:32.708471,2021-10-13 00:56:32.725482,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.89028,34.53025,-,-,-,1
2021-10-13 00:56:33.214390,2021-10-13 00:56:33.222407,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.874997,35.63299,-,-,-,1
2021-10-13 00:56:33.720765,2021-10-13 00:56:33.724592,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.868549,36.48802,-,-,-,1
2021-10-13 00:56:34.224915,2021-10-13 00:56:34.227900,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.865011,37.4674,-,-,-,1
2021-10-13 00:56:34.729213,2021-10-13 00:56:34.731204,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.864334,38.34872,-,-,-,1
2021-10-13 00:56:35.235756,2021-10-13 00:56:35.237744,-,stiction-P-oilgas-DB-1-baccidicapaci-2018,1.864017,39.28242,-,-,-,1
